10
7
76
3 5
3 8
4 9
6 7
6 8
7 9
8 9
0 1 54
1 0 81
0 2 17
2 0 32
0 3 66
3 0 0
0 4 63
4 0 79
0 5 29
5 0 79
0 6 22
6 0 40
0 7 80
7 0 86
0 8 14
8 0 35
0 9 41
9 0 71
1 2 14
2 1 58
1 3 26
3 1 5
1 4 27
4 1 68
1 5 22
5 1 34
1 6 14
6 1 83
1 7 94
7 1 53
1 8 92
8 1 6
1 9 30
9 1 60
2 3 13
3 2 83
2 4 95
4 2 91
2 5 61
5 2 44
2 6 76
6 2 21
2 7 60
7 2 47
2 8 47
8 2 66
2 9 11
9 2 14
3 4 91
4 3 22
3 6 25
6 3 13
3 7 24
7 3 98
3 9 30
9 3 75
4 5 43
5 4 75
4 6 88
6 4 19
4 7 97
7 4 46
4 8 21
8 4 70
5 6 39
6 5 52
5 7 11
7 5 21
5 8 37
8 5 12
5 9 91
9 5 52
6 9 88
9 6 23
7 8 68
8 7 14
