10
6
78
0 8
1 7
2 5
4 6
5 6
6 9
0 1 50
1 0 75
0 2 100
2 0 84
0 3 89
3 0 2
0 4 55
4 0 42
0 5 54
5 0 48
0 6 59
6 0 84
0 7 63
7 0 35
0 9 73
9 0 14
1 2 95
2 1 52
1 3 71
3 1 93
1 4 7
4 1 56
1 5 25
5 1 13
1 6 63
6 1 8
1 8 68
8 1 99
1 9 28
9 1 30
2 3 6
3 2 75
2 4 65
4 2 18
2 6 50
6 2 2
2 7 34
7 2 87
2 8 28
8 2 33
2 9 9
9 2 52
3 4 21
4 3 66
3 5 62
5 3 91
3 6 29
6 3 62
3 7 86
7 3 64
3 8 97
8 3 50
3 9 90
9 3 72
4 5 62
5 4 4
4 7 19
7 4 100
4 8 61
8 4 31
4 9 64
9 4 54
5 7 53
7 5 46
5 8 72
8 5 27
5 9 29
9 5 48
6 7 46
7 6 48
6 8 90
8 6 29
7 8 60
8 7 79
7 9 17
9 7 71
8 9 91
9 8 98
