10
8
74
1 4
1 5
1 9
2 4
3 5
3 8
3 9
5 7
0 1 67
1 0 98
0 2 46
2 0 41
0 3 92
3 0 22
0 4 36
4 0 59
0 5 25
5 0 13
0 6 55
6 0 60
0 7 69
7 0 4
0 8 68
8 0 44
0 9 73
9 0 35
1 2 57
2 1 3
1 3 49
3 1 71
1 6 33
6 1 38
1 7 99
7 1 84
1 8 20
8 1 44
2 3 60
3 2 60
2 5 35
5 2 66
2 6 39
6 2 64
2 7 40
7 2 65
2 8 27
8 2 40
2 9 61
9 2 62
3 4 16
4 3 80
3 6 89
6 3 0
3 7 64
7 3 13
4 5 23
5 4 64
4 6 36
6 4 3
4 7 45
7 4 42
4 8 68
8 4 14
4 9 9
9 4 66
5 6 22
6 5 25
5 8 78
8 5 67
5 9 27
9 5 79
6 7 93
7 6 69
6 8 35
8 6 30
6 9 18
9 6 47
7 8 70
8 7 15
7 9 69
9 7 50
8 9 64
9 8 59
