10
12
66
0 1
1 5
1 6
1 8
2 5
2 8
3 9
4 5
4 6
4 8
5 7
8 9
0 2 86
2 0 10
0 3 31
3 0 35
0 4 82
4 0 18
0 5 13
5 0 4
0 6 64
6 0 47
0 7 40
7 0 56
0 8 16
8 0 89
0 9 41
9 0 80
1 2 94
2 1 30
1 3 25
3 1 58
1 4 94
4 1 29
1 7 41
7 1 51
1 9 73
9 1 76
2 3 53
3 2 75
2 4 81
4 2 9
2 6 23
6 2 82
2 7 8
7 2 78
2 9 47
9 2 88
3 4 45
4 3 60
3 5 57
5 3 93
3 6 67
6 3 86
3 7 30
7 3 90
3 8 25
8 3 89
4 7 68
7 4 95
4 9 20
9 4 16
5 6 44
6 5 72
5 8 72
8 5 31
5 9 8
9 5 63
6 7 90
7 6 47
6 8 36
8 6 44
6 9 59
9 6 77
7 8 19
8 7 71
7 9 6
9 7 9
