10
9
70
0 1
0 8
1 4
2 7
2 8
3 5
3 9
4 7
5 8
0 2 30
2 0 7
0 3 94
3 0 11
0 4 54
4 0 76
0 5 40
5 0 35
0 6 90
6 0 65
0 7 12
7 0 67
0 9 57
9 0 23
1 2 84
2 1 76
1 3 45
3 1 55
1 5 26
5 1 66
1 6 65
6 1 12
1 8 48
8 1 49
1 9 41
9 1 33
2 3 99
3 2 70
2 4 79
4 2 51
2 5 95
5 2 53
2 6 34
6 2 79
2 9 30
9 2 1
3 4 18
4 3 50
3 6 71
6 3 51
3 7 53
7 3 61
3 8 1
8 3 38
4 5 79
5 4 18
4 6 37
6 4 22
4 8 55
8 4 75
4 9 68
9 4 80
5 6 44
6 5 3
5 7 34
7 5 2
5 9 21
9 5 48
6 7 98
7 6 40
6 8 74
8 6 99
6 9 91
9 6 62
7 8 59
8 7 53
7 9 1
9 7 39
8 9 14
9 8 38
