15
18
102
0 1
0 7
1 2
2 3
3 4
4 5
5 6
5 8
6 9
6 10
7 9
8 9
8 10
9 13
9 14
10 11
10 12
12 14
0 4 74
4 0 99
0 9 91
9 0 62
0 10 59
10 0 53
0 11 1
11 0 39
0 13 14
13 0 38
1 3 82
3 1 20
1 4 5
4 1 52
1 5 37
5 1 67
1 6 28
6 1 92
1 7 18
7 1 92
1 8 27
8 1 86
1 11 13
11 1 39
2 4 32
4 2 32
2 7 25
7 2 24
2 9 97
9 2 66
2 10 18
10 2 43
2 14 26
14 2 1
3 5 4
5 3 87
3 6 34
6 3 78
3 7 29
7 3 69
3 8 64
8 3 18
3 10 23
10 3 2
3 11 93
11 3 84
3 13 99
13 3 30
4 6 11
6 4 13
4 7 52
7 4 28
4 10 46
10 4 84
4 13 49
13 4 99
5 7 70
7 5 35
5 9 2
9 5 23
5 12 83
12 5 92
5 13 50
13 5 74
5 14 8
14 5 38
6 7 63
7 6 55
6 8 94
8 6 17
7 8 33
8 7 29
7 10 75
10 7 30
7 11 33
11 7 12
7 12 35
12 7 87
8 12 64
12 8 59
8 13 99
13 8 88
9 10 18
10 9 88
9 11 50
11 9 11
9 12 67
12 9 88
10 13 86
13 10 48
10 14 58
14 10 69
11 12 68
12 11 5
11 13 28
13 11 79
11 14 34
14 11 47
12 13 36
13 12 93
13 14 45
14 13 63
