15
19
172
1 13
2 4
2 10
3 4
3 5
3 8
3 9
3 11
4 12
4 13
6 10
6 11
6 13
7 11
7 12
7 13
9 13
10 14
12 14
0 1 97
1 0 46
0 2 21
2 0 70
0 3 39
3 0 52
0 4 11
4 0 21
0 5 37
5 0 12
0 6 91
6 0 52
0 7 88
7 0 23
0 8 68
8 0 14
0 9 41
9 0 58
0 10 12
10 0 36
0 11 74
11 0 4
0 12 79
12 0 19
0 13 27
13 0 82
0 14 32
14 0 36
1 2 71
2 1 75
1 3 97
3 1 3
1 4 72
4 1 86
1 5 65
5 1 36
1 6 67
6 1 59
1 7 26
7 1 88
1 8 93
8 1 30
1 9 20
9 1 36
1 10 29
10 1 70
1 11 33
11 1 55
1 12 29
12 1 35
1 14 78
14 1 21
2 3 57
3 2 41
2 5 19
5 2 56
2 6 43
6 2 9
2 7 21
7 2 60
2 8 7
8 2 93
2 9 49
9 2 49
2 11 28
11 2 57
2 12 85
12 2 69
2 13 84
13 2 22
2 14 86
14 2 37
3 6 53
6 3 73
3 7 2
7 3 41
3 10 94
10 3 99
3 12 21
12 3 28
3 13 52
13 3 77
3 14 10
14 3 23
4 5 31
5 4 65
4 6 32
6 4 40
4 7 71
7 4 96
4 8 69
8 4 82
4 9 16
9 4 95
4 10 37
10 4 5
4 11 81
11 4 57
4 14 54
14 4 81
5 6 63
6 5 73
5 7 99
7 5 65
5 8 77
8 5 70
5 9 61
9 5 37
5 10 74
10 5 7
5 11 34
11 5 1
5 12 51
12 5 9
5 13 24
13 5 94
5 14 57
14 5 32
6 7 55
7 6 85
6 8 38
8 6 2
6 9 77
9 6 2
6 12 52
12 6 49
6 14 26
14 6 20
7 8 28
8 7 97
7 9 86
9 7 10
7 10 59
10 7 84
7 14 72
14 7 25
8 9 85
9 8 16
8 10 61
10 8 100
8 11 11
11 8 11
8 12 62
12 8 68
8 13 14
13 8 100
8 14 61
14 8 40
9 10 63
10 9 62
9 11 94
11 9 94
9 12 31
12 9 4
9 14 61
14 9 82
10 11 20
11 10 35
10 12 76
12 10 82
10 13 62
13 10 2
11 12 0
12 11 40
11 13 92
13 11 74
11 14 31
14 11 44
12 13 26
13 12 99
13 14 52
14 13 68
