15
16
172
0 8
1 2
2 7
2 11
3 6
3 12
3 14
4 11
5 7
5 10
6 10
7 13
9 10
10 11
10 13
12 13
0 1 64
1 0 54
0 2 53
2 0 46
0 3 72
3 0 27
0 4 29
4 0 48
0 5 46
5 0 48
0 6 90
6 0 29
0 7 60
7 0 79
0 9 17
9 0 71
0 10 91
10 0 98
0 11 48
11 0 38
0 12 84
12 0 45
0 13 53
13 0 33
0 14 25
14 0 84
1 3 82
3 1 30
1 4 47
4 1 3
1 5 61
5 1 34
1 6 67
6 1 35
1 8 76
8 1 29
1 9 7
9 1 12
1 10 13
10 1 59
1 11 21
11 1 61
1 12 40
12 1 27
1 13 47
13 1 46
1 14 97
14 1 66
2 3 45
3 2 16
2 4 40
4 2 50
2 5 78
5 2 89
2 6 30
6 2 69
2 8 22
8 2 12
2 9 57
9 2 15
2 10 89
10 2 21
2 12 88
12 2 92
2 13 30
13 2 86
2 14 22
14 2 29
3 4 13
4 3 66
3 5 30
5 3 41
3 7 33
7 3 71
3 8 22
8 3 97
3 9 33
9 3 91
3 10 56
10 3 31
3 11 22
11 3 18
4 5 26
5 4 77
4 6 72
6 4 78
4 7 89
7 4 85
4 8 51
8 4 54
4 9 24
9 4 81
4 10 96
10 4 42
4 12 42
12 4 64
4 13 78
13 4 81
4 14 42
14 4 71
5 6 52
6 5 80
5 8 88
8 5 75
5 9 25
9 5 42
5 11 33
11 5 48
5 12 93
12 5 82
5 13 3
13 5 9
5 14 11
14 5 12
6 7 88
7 6 22
6 8 90
8 6 82
6 9 55
9 6 14
6 11 55
11 6 18
6 12 25
12 6 24
6 13 23
13 6 84
6 14 17
14 6 35
7 8 40
8 7 64
7 9 33
9 7 25
7 10 10
10 7 7
7 11 67
11 7 5
7 12 25
12 7 95
7 14 31
14 7 98
8 9 28
9 8 31
8 10 48
10 8 15
8 11 65
11 8 96
8 12 27
12 8 77
8 13 51
13 8 47
8 14 30
14 8 30
9 11 72
11 9 51
9 12 36
12 9 85
9 14 45
14 9 20
10 12 7
12 10 86
10 14 44
14 10 20
11 12 4
12 11 81
11 13 4
13 11 83
11 14 76
14 11 34
12 14 9
14 12 83
13 14 24
14 13 14
