15
14
176
0 1
1 2
1 9
1 10
2 5
2 8
2 13
3 12
4 8
4 14
6 9
6 13
10 12
12 14
0 2 74
2 0 99
0 3 91
3 0 62
0 4 59
4 0 53
0 5 1
5 0 39
0 6 14
6 0 38
0 7 82
7 0 20
0 9 5
9 0 52
0 10 37
10 0 67
0 11 28
11 0 92
0 13 18
13 0 92
0 14 27
14 0 86
1 3 13
3 1 39
1 4 32
4 1 32
1 5 25
5 1 24
1 6 97
6 1 66
1 7 18
7 1 43
1 8 26
8 1 1
1 11 4
11 1 87
1 12 34
12 1 78
1 14 29
14 1 69
2 3 64
3 2 18
2 4 23
4 2 2
2 6 93
6 2 84
2 7 99
7 2 30
2 9 11
9 2 13
2 10 52
10 2 28
2 11 46
11 2 84
2 12 49
12 2 99
2 14 70
14 2 35
3 4 2
4 3 23
3 5 83
5 3 92
3 6 50
6 3 74
3 7 8
7 3 38
3 8 63
8 3 55
3 9 94
9 3 17
3 10 33
10 3 29
3 11 75
11 3 30
3 13 33
13 3 12
3 14 35
14 3 87
4 5 64
5 4 59
4 6 99
6 4 88
4 7 18
7 4 88
4 9 50
9 4 11
4 10 67
10 4 88
4 11 86
11 4 48
4 12 58
12 4 69
4 13 68
13 4 5
5 6 28
6 5 79
5 7 34
7 5 47
5 8 36
8 5 93
5 9 45
9 5 63
5 10 1
10 5 73
5 11 96
11 5 59
5 12 28
12 5 83
5 13 43
13 5 47
5 14 55
14 5 72
6 7 64
7 6 96
6 8 5
8 6 27
6 10 45
10 6 47
6 11 13
11 6 7
6 12 41
12 6 87
6 14 33
14 6 71
7 8 80
8 7 6
7 9 39
9 7 64
7 10 21
10 7 56
7 11 31
11 7 63
7 12 50
12 7 34
7 13 73
13 7 80
7 14 49
14 7 8
8 9 76
9 8 18
8 10 39
10 8 9
8 11 8
11 8 33
8 12 20
12 8 31
8 13 80
13 8 96
8 14 82
14 8 72
9 10 19
10 9 8
9 11 6
11 9 63
9 12 52
12 9 20
9 13 58
13 9 38
9 14 62
14 9 52
10 11 19
11 10 26
10 13 75
13 10 23
10 14 94
14 10 19
11 12 8
12 11 49
11 13 77
13 11 97
11 14 63
14 11 97
12 13 52
13 12 3
13 14 34
14 13 65
