20
22
74
0 1
1 2
1 3
2 4
3 4
4 5
5 6
6 7
7 8
8 9
9 10
10 11
11 12
11 13
12 14
13 14
14 15
15 16
16 17
16 18
17 19
18 19
0 4 65
4 0 32
0 7 40
7 0 71
0 8 96
8 0 69
0 10 82
10 0 16
0 11 95
11 0 37
0 13 5
13 0 81
1 5 57
5 1 54
1 6 81
6 1 63
1 9 73
9 1 99
1 15 65
15 1 77
1 18 70
18 1 61
2 3 37
3 2 74
2 13 7
13 2 34
2 16 1
16 2 51
3 9 9
9 3 24
3 13 94
13 3 57
3 16 32
16 3 55
4 6 85
6 4 38
4 11 2
11 4 77
4 14 2
14 4 52
5 12 49
12 5 26
5 13 20
13 5 28
5 17 97
17 5 86
6 12 10
12 6 59
6 19 84
19 6 72
7 10 25
10 7 85
7 16 16
16 7 61
7 19 100
19 7 11
8 11 11
11 8 62
8 13 68
13 8 14
9 11 100
11 9 61
10 13 40
13 10 63
11 17 62
17 11 94
12 13 94
13 12 31
12 16 4
16 12 61
14 19 82
19 14 20
17 18 35
18 17 76
