20
21
64
0 2
1 2
2 3
3 4
3 5
4 6
5 7
6 7
7 8
8 9
9 10
10 11
10 12
11 13
12 14
13 14
14 15
15 16
16 17
17 18
18 19
0 1 78
1 0 89
0 4 85
4 0 51
0 16 54
16 0 24
0 18 81
18 0 96
1 4 42
4 1 42
1 5 64
5 1 78
1 6 81
6 1 42
1 9 71
9 1 52
2 5 80
5 2 88
2 9 75
9 2 25
2 10 42
10 2 33
2 16 48
16 2 93
3 10 82
10 3 3
3 15 9
15 3 11
3 18 12
18 3 88
4 5 22
5 4 90
4 10 82
10 4 55
4 13 14
13 4 55
4 15 18
15 4 25
5 6 24
6 5 23
6 8 84
8 6 17
6 9 35
9 6 40
7 15 64
15 7 33
8 19 25
19 8 10
9 16 7
16 9 67
9 17 5
17 9 25
9 18 95
18 9 31
11 12 98
12 11 28
12 13 31
13 12 48
12 15 15
15 12 65
13 18 96
18 13 27
16 19 77
19 16 51
