20
23
70
0 2
0 4
1 2
1 4
2 3
3 5
3 6
4 5
5 7
6 8
7 8
8 9
8 10
9 11
10 11
11 12
12 13
13 14
14 15
15 16
16 17
17 18
17 19
0 1 70
1 0 88
0 3 70
3 0 25
0 10 29
10 0 50
0 16 52
16 0 10
1 16 8
16 1 26
1 17 53
17 1 24
2 4 80
4 2 81
2 7 51
7 2 8
2 9 21
9 2 80
3 4 45
4 3 79
3 8 31
8 3 15
3 14 95
14 3 51
4 6 40
6 4 33
5 6 90
6 5 59
5 9 45
9 5 49
5 11 4
11 5 68
5 15 20
15 5 12
5 19 96
19 5 60
6 7 87
7 6 85
6 19 45
19 6 83
7 10 85
10 7 50
7 19 14
19 7 86
8 16 26
16 8 88
8 17 79
17 8 73
9 10 25
10 9 83
9 13 23
13 9 10
9 15 3
15 9 90
9 18 83
18 9 9
11 16 41
16 11 65
12 16 55
16 12 92
14 16 59
16 14 56
15 17 92
17 15 99
15 18 56
18 15 80
16 19 87
19 16 15
18 19 24
19 18 43
