20
30
200
0 2
0 8
1 2
1 8
2 4
3 5
3 6
4 6
5 7
5 9
6 7
6 10
7 11
7 13
7 14
7 17
8 10
8 15
9 10
10 12
10 17
11 15
12 14
12 16
13 15
14 18
15 16
15 18
17 19
18 19
0 1 78
1 0 89
0 3 85
3 0 51
0 4 54
4 0 24
0 5 81
5 0 96
0 7 42
7 0 42
0 9 64
9 0 78
0 10 81
10 0 42
0 11 71
11 0 52
0 16 80
16 0 88
0 17 75
17 0 25
0 18 42
18 0 33
0 19 48
19 0 93
1 3 82
3 1 3
1 4 9
4 1 11
1 5 12
5 1 88
1 6 22
6 1 90
1 9 82
9 1 55
1 11 14
11 1 55
1 13 18
13 1 25
1 15 24
15 1 23
1 17 84
17 1 17
1 19 35
19 1 40
2 3 64
3 2 33
2 5 25
5 2 10
2 6 7
6 2 67
2 8 5
8 2 25
2 9 95
9 2 31
2 10 98
10 2 28
2 16 31
16 2 48
2 18 15
18 2 65
3 4 96
4 3 27
3 8 77
8 3 51
3 10 47
10 3 30
3 15 30
15 3 72
3 17 51
17 3 36
3 18 85
18 3 45
4 5 20
5 4 7
4 8 86
8 4 44
4 9 20
9 4 4
4 10 81
10 4 4
4 13 83
13 4 76
4 15 34
15 4 9
4 16 83
16 4 24
4 18 14
18 4 68
4 19 92
19 4 42
5 6 23
6 5 44
5 8 40
8 5 9
5 12 7
12 5 83
6 8 53
8 6 94
6 9 58
9 6 38
6 12 66
12 6 85
6 16 27
16 6 66
6 18 88
18 6 89
6 19 55
19 6 11
7 8 42
8 7 41
7 9 63
9 7 43
7 10 46
10 7 55
7 12 74
12 7 71
7 15 14
15 7 13
7 19 20
19 7 16
8 9 2
9 8 18
8 11 61
11 8 30
8 13 20
13 8 37
8 14 37
14 8 39
8 17 25
17 8 1
8 18 18
18 8 48
8 19 58
19 8 28
9 11 59
11 9 27
9 13 99
13 9 70
9 15 51
15 9 49
9 16 23
16 9 79
9 17 62
17 9 68
9 18 2
18 9 88
10 11 99
11 10 69
10 13 95
13 10 61
10 14 55
14 10 35
10 15 1
15 10 93
10 16 88
16 10 85
10 19 13
19 10 36
11 12 14
12 11 17
11 13 63
13 11 13
11 14 26
14 11 44
11 17 27
17 11 57
11 19 83
19 11 13
12 13 21
13 12 72
12 15 85
15 12 61
12 17 31
17 12 17
13 14 30
14 13 82
13 16 25
16 13 20
13 17 84
17 13 24
13 18 42
18 13 64
14 15 63
15 14 33
14 16 9
16 14 6
14 17 25
17 14 45
14 19 60
19 14 87
15 17 31
17 15 35
16 17 98
17 16 79
16 18 59
18 16 42
16 19 32
19 16 20
17 18 16
18 17 96
