20
29
190
0 2
0 4
1 6
2 5
2 6
3 5
3 6
4 5
5 7
5 8
6 8
7 9
7 11
7 13
8 9
8 10
9 12
9 14
10 11
10 13
11 12
11 14
12 17
12 19
13 14
14 15
15 16
16 17
17 18
0 1 70
1 0 88
0 3 70
3 0 25
0 5 29
5 0 50
0 6 52
6 0 10
0 7 8
7 0 26
0 9 53
9 0 24
0 10 80
10 0 81
0 14 51
14 0 8
0 15 21
15 0 80
0 16 45
16 0 79
1 2 31
2 1 15
1 3 95
3 1 51
1 4 40
4 1 33
1 5 90
5 1 59
1 7 45
7 1 49
1 9 4
9 1 68
1 16 20
16 1 12
1 17 96
17 1 60
1 18 87
18 1 85
2 3 45
3 2 83
2 4 85
4 2 50
2 7 14
7 2 86
2 8 26
8 2 88
2 9 79
9 2 73
2 10 25
10 2 83
2 13 23
13 2 10
2 14 3
14 2 90
2 16 83
16 2 9
2 17 41
17 2 65
2 19 55
19 2 92
3 4 59
4 3 56
3 8 92
8 3 99
3 10 56
10 3 80
3 12 87
12 3 15
3 14 24
14 3 43
3 15 0
15 3 13
3 17 10
17 3 99
3 18 12
18 3 24
4 6 1
6 4 38
4 7 25
7 4 13
4 10 53
10 4 52
4 12 68
12 4 65
4 14 31
14 4 98
4 16 45
16 4 96
4 17 17
17 4 28
5 6 83
6 5 29
5 9 14
9 5 97
5 11 71
11 5 2
5 12 43
12 5 62
5 14 21
14 5 92
5 15 73
15 5 68
5 16 3
16 5 2
5 17 28
17 5 59
5 19 42
19 5 58
6 7 77
7 6 24
6 9 18
9 6 46
6 10 69
10 6 87
6 13 12
13 6 23
6 17 90
17 6 54
6 18 3
18 6 68
6 19 68
19 6 85
7 8 48
8 7 30
7 10 2
10 7 3
7 12 54
12 7 98
7 17 30
17 7 40
7 19 36
19 7 15
8 14 46
14 8 40
8 16 25
16 8 53
8 17 62
17 8 90
9 10 49
10 9 3
9 11 83
11 9 35
9 13 61
13 9 19
9 15 19
15 9 53
9 18 15
18 9 9
10 18 70
18 10 23
10 19 68
19 10 13
11 13 9
13 11 56
11 16 50
16 11 48
11 19 7
19 11 22
12 13 73
13 12 72
12 14 17
14 12 4
12 15 12
15 12 5
12 16 0
16 12 31
12 18 96
18 12 59
13 15 67
15 13 34
13 19 51
19 13 46
14 16 91
16 14 51
14 18 82
18 14 38
14 19 78
19 14 83
15 17 12
17 15 68
15 18 80
18 15 81
15 19 0
19 15 12
16 19 40
19 16 65
17 19 85
19 17 10
18 19 69
19 18 94
