20
27
184
0 1
1 2
2 4
3 6
3 10
4 5
5 6
5 7
6 8
7 8
7 10
8 9
9 11
10 11
11 12
11 13
12 14
12 16
13 16
13 17
13 18
14 15
15 17
15 18
16 19
17 19
18 19
0 2 59
2 0 10
0 3 59
3 0 33
0 4 77
4 0 71
0 5 46
5 0 69
0 6 63
6 0 4
0 7 55
7 0 63
0 8 26
8 0 27
0 10 29
10 0 33
0 11 100
11 0 1
0 17 5
17 0 1
0 18 91
18 0 92
1 3 100
3 1 7
1 4 31
4 1 69
1 6 7
6 1 91
1 7 85
7 1 89
1 11 16
11 1 6
1 15 29
15 1 34
1 17 98
17 1 55
1 18 78
18 1 55
2 3 56
3 2 42
2 6 46
6 2 1
2 9 17
9 2 78
2 12 47
12 2 20
2 13 31
13 2 65
2 14 81
14 2 21
2 16 35
16 2 42
2 17 93
17 2 47
2 18 32
18 2 29
3 4 55
4 3 100
3 5 19
5 3 75
3 7 93
7 3 98
3 9 80
9 3 37
3 12 6
12 3 75
3 13 44
13 3 75
3 16 54
16 3 75
3 17 31
17 3 16
4 9 36
9 4 88
4 10 44
10 4 91
4 12 12
12 4 77
4 14 12
14 4 93
4 16 25
16 4 45
5 8 63
8 5 55
5 10 0
10 5 90
5 14 26
14 5 16
5 15 4
15 5 25
5 16 74
16 5 38
5 19 89
19 5 10
6 7 47
7 6 48
6 10 15
10 6 23
6 11 25
11 6 28
6 12 55
12 6 11
6 15 6
15 6 41
6 17 39
17 6 48
6 18 34
18 6 18
6 19 84
19 6 51
7 12 65
12 7 38
7 15 72
15 7 55
7 16 76
16 7 24
7 18 71
18 7 12
7 19 75
19 7 18
8 10 18
10 8 59
8 11 30
11 8 72
8 12 27
12 8 79
8 14 89
14 8 27
8 16 5
16 8 96
8 17 29
17 8 67
8 19 10
19 8 43
9 10 99
10 9 8
9 12 58
12 9 88
9 13 44
13 9 48
9 16 40
16 9 13
9 17 27
17 9 11
9 19 28
19 9 93
10 15 53
15 10 10
10 19 67
19 10 49
11 15 97
15 11 79
11 19 27
19 11 91
12 13 99
13 12 13
12 15 77
15 12 32
12 17 39
17 12 23
12 18 26
18 12 79
12 19 26
19 12 28
13 14 80
14 13 99
13 15 87
15 13 57
14 16 75
16 14 26
14 17 8
17 14 79
14 19 56
19 14 11
15 16 60
16 15 5
15 19 93
19 15 75
16 17 82
17 16 90
16 18 15
18 16 69
17 18 26
18 17 28
