20
36
192
0 1
0 2
1 4
1 5
1 12
2 3
2 5
3 4
3 12
4 6
4 7
4 8
4 10
5 6
5 7
5 10
6 11
6 14
6 15
7 11
7 14
8 9
8 11
9 15
9 17
10 11
10 15
11 13
12 16
13 16
14 17
15 18
16 17
16 18
17 19
18 19
0 4 11
4 0 67
0 9 88
9 0 86
0 10 48
10 0 58
0 11 69
11 0 68
0 13 5
13 0 28
0 16 79
16 0 34
0 17 47
17 0 36
0 18 93
18 0 45
0 19 63
19 0 1
1 2 73
2 1 96
1 3 59
3 1 28
1 6 83
6 1 43
1 11 47
11 1 55
1 14 72
14 1 64
1 16 96
16 1 5
1 17 27
17 1 45
2 4 47
4 2 13
2 6 7
6 2 41
2 7 87
7 2 33
2 8 71
8 2 80
2 9 6
9 2 39
2 11 64
11 2 21
2 12 56
12 2 31
2 14 63
14 2 50
2 17 34
17 2 73
2 18 80
18 2 49
3 5 8
5 3 76
3 8 18
8 3 39
3 11 9
11 3 8
3 13 33
13 3 20
3 16 31
16 3 80
3 17 96
17 3 82
3 18 72
18 3 19
3 19 8
19 3 6
4 5 63
5 4 52
4 12 20
12 4 58
4 14 38
14 4 62
4 15 52
15 4 19
4 16 26
16 4 75
5 8 23
8 5 94
5 9 19
9 5 8
5 11 49
11 5 77
5 12 97
12 5 63
5 13 97
13 5 52
5 18 3
18 5 34
5 19 65
19 5 86
6 7 74
7 6 69
6 8 42
8 6 63
6 9 7
9 6 98
6 10 49
10 6 1
6 12 81
12 6 46
6 19 78
19 6 11
7 8 65
8 7 37
7 9 83
9 7 99
7 10 12
10 7 26
7 12 36
12 7 35
7 13 67
13 7 84
7 15 5
15 7 8
7 17 98
17 7 34
7 19 21
19 7 57
8 10 100
10 8 93
8 12 72
12 8 38
8 13 81
13 8 52
8 14 94
14 8 53
8 15 86
15 8 39
8 16 79
16 8 60
8 17 41
17 8 59
9 10 58
10 9 49
9 11 68
11 9 66
9 12 100
12 9 99
9 13 55
13 9 2
9 14 72
14 9 13
9 16 52
16 9 83
9 18 6
18 9 31
10 12 76
12 10 11
10 13 88
13 10 19
10 14 36
14 10 45
10 18 7
18 10 90
10 19 4
19 10 83
11 12 68
12 11 34
11 14 79
14 11 85
11 15 24
15 11 83
11 17 15
17 11 0
12 13 55
13 12 87
12 14 8
14 12 22
12 15 75
15 12 88
13 14 69
14 13 43
13 15 0
15 13 85
13 19 15
19 13 45
14 15 71
15 14 82
14 16 13
16 14 59
14 18 32
18 14 19
14 19 73
19 14 69
15 16 47
16 15 55
15 17 59
17 15 92
17 18 45
18 17 3
