20
26
314
0 8
1 2
2 7
2 13
2 14
3 6
3 11
3 14
4 7
5 11
5 14
5 18
6 10
7 11
7 17
7 18
8 10
8 15
10 17
11 16
12 16
12 18
12 19
13 15
15 16
15 18
0 1 78
1 0 89
0 2 85
2 0 51
0 3 54
3 0 24
0 4 81
4 0 96
0 5 42
5 0 42
0 6 64
6 0 78
0 7 81
7 0 42
0 9 71
9 0 52
0 10 80
10 0 88
0 11 75
11 0 25
0 12 42
12 0 33
0 13 48
13 0 93
0 14 82
14 0 3
0 16 9
16 0 11
0 17 12
17 0 88
0 18 22
18 0 90
0 19 82
19 0 55
1 3 14
3 1 55
1 4 18
4 1 25
1 5 24
5 1 23
1 6 84
6 1 17
1 7 35
7 1 40
1 8 64
8 1 33
1 9 25
9 1 10
1 10 7
10 1 67
1 11 5
11 1 25
1 12 95
12 1 31
1 13 98
13 1 28
1 15 31
15 1 48
1 16 15
16 1 65
1 17 96
17 1 27
1 19 77
19 1 51
2 3 47
3 2 30
2 4 30
4 2 72
2 5 51
5 2 36
2 6 85
6 2 45
2 8 20
8 2 7
2 9 86
9 2 44
2 10 20
10 2 4
2 11 81
11 2 4
2 12 83
12 2 76
2 16 34
16 2 9
2 17 83
17 2 24
2 18 14
18 2 68
2 19 92
19 2 42
3 4 23
4 3 44
3 5 40
5 3 9
3 7 7
7 3 83
3 8 53
8 3 94
3 9 58
9 3 38
3 10 66
10 3 85
3 12 27
12 3 66
3 13 88
13 3 89
3 15 55
15 3 11
3 16 42
16 3 41
3 17 63
17 3 43
3 18 46
18 3 55
3 19 74
19 3 71
4 5 14
5 4 13
4 6 20
6 4 16
4 8 2
8 4 18
4 9 61
9 4 30
4 10 20
10 4 37
4 11 37
11 4 39
4 12 25
12 4 1
4 13 18
13 4 48
4 14 58
14 4 28
4 15 59
15 4 27
4 16 99
16 4 70
4 18 51
18 4 49
4 19 23
19 4 79
5 6 62
6 5 68
5 7 2
7 5 88
5 8 99
8 5 69
5 9 95
9 5 61
5 10 55
10 5 35
5 12 1
12 5 93
5 13 88
13 5 85
5 15 13
15 5 36
5 17 14
17 5 17
5 19 63
19 5 13
6 7 26
7 6 44
6 8 27
8 6 57
6 9 83
9 6 13
6 11 21
11 6 72
6 12 85
12 6 61
6 13 31
13 6 17
6 14 30
14 6 82
6 15 25
15 6 20
6 16 84
16 6 24
6 17 42
17 6 64
6 18 63
18 6 33
6 19 9
19 6 6
7 8 25
8 7 45
7 9 60
9 7 87
7 10 31
10 7 35
7 12 98
12 7 79
7 13 59
13 7 42
7 14 32
14 7 20
7 15 16
15 7 96
7 16 97
16 7 38
7 19 12
19 7 31
8 9 37
9 8 2
8 11 80
11 8 87
8 12 25
12 8 39
8 13 43
13 8 84
8 14 63
14 8 83
8 17 48
17 8 18
8 18 16
18 8 68
8 19 28
19 8 78
9 10 19
10 9 51
9 11 67
11 9 12
9 12 86
12 9 1
9 13 52
13 9 54
9 14 96
14 9 69
9 15 50
15 9 60
9 16 74
16 9 59
9 17 69
17 9 80
9 18 24
18 9 31
9 19 51
19 9 53
10 11 53
11 10 58
10 12 39
12 10 36
10 13 33
13 10 45
10 14 27
14 10 9
10 15 72
15 10 77
10 16 85
16 10 79
10 18 58
18 10 35
10 19 31
19 10 34
11 12 2
12 11 11
11 13 30
13 11 96
11 14 10
14 11 60
11 15 48
15 11 54
11 17 22
17 11 95
11 18 21
18 11 5
11 19 35
19 11 31
12 13 97
13 12 49
12 14 43
14 12 78
12 15 32
15 12 27
12 17 40
17 12 21
13 14 20
14 13 50
13 16 18
16 13 51
13 17 1
17 13 79
13 18 34
18 13 49
13 19 78
19 13 75
14 15 84
15 14 60
14 16 39
16 14 60
14 17 14
17 14 23
14 18 79
18 14 18
14 19 45
19 14 11
15 17 42
17 15 91
15 19 87
19 15 45
16 17 39
17 16 78
16 18 28
18 16 66
16 19 11
19 16 27
17 18 25
18 17 76
17 19 17
19 17 55
18 19 85
19 18 47
