20
28
296
0 1
1 2
1 5
1 19
2 10
2 11
2 15
3 8
3 10
4 8
4 19
5 7
5 9
6 9
7 10
7 13
8 9
8 15
9 11
10 12
11 16
11 18
12 14
12 16
13 16
13 18
14 18
17 19
0 2 59
2 0 10
0 3 59
3 0 33
0 4 77
4 0 71
0 5 46
5 0 69
0 6 63
6 0 4
0 7 55
7 0 63
0 8 26
8 0 27
0 9 29
9 0 33
0 10 100
10 0 1
0 11 5
11 0 1
0 12 91
12 0 92
0 15 100
15 0 7
0 17 31
17 0 69
0 18 7
18 0 91
0 19 85
19 0 89
1 3 16
3 1 6
1 4 29
4 1 34
1 6 98
6 1 55
1 7 78
7 1 55
1 8 56
8 1 42
1 9 46
9 1 1
1 10 17
10 1 78
1 11 47
11 1 20
1 15 31
15 1 65
1 17 81
17 1 21
1 18 35
18 1 42
2 3 93
3 2 47
2 4 32
4 2 29
2 5 55
5 2 100
2 6 19
6 2 75
2 7 93
7 2 98
2 8 80
8 2 37
2 9 6
9 2 75
2 12 44
12 2 75
2 13 54
13 2 75
2 14 31
14 2 16
2 16 36
16 2 88
2 17 44
17 2 91
2 18 12
18 2 77
2 19 12
19 2 93
3 4 25
4 3 45
3 5 63
5 3 55
3 6 0
6 3 90
3 7 26
7 3 16
3 9 4
9 3 25
3 12 74
12 3 38
3 13 89
13 3 10
3 14 47
14 3 48
3 16 15
16 3 23
3 17 25
17 3 28
3 18 55
18 3 11
3 19 6
19 3 41
4 5 39
5 4 48
4 6 34
6 4 18
4 7 84
7 4 51
4 9 65
9 4 38
4 10 72
10 4 55
4 12 76
12 4 24
4 13 71
13 4 12
4 14 75
14 4 18
4 16 18
16 4 59
4 17 30
17 4 72
4 18 27
18 4 79
5 6 89
6 5 27
5 8 5
8 5 96
5 10 29
10 5 67
5 12 10
12 5 43
5 14 99
14 5 8
5 15 58
15 5 88
5 16 44
16 5 48
5 17 40
17 5 13
5 18 27
18 5 11
5 19 28
19 5 93
6 7 53
7 6 10
6 8 67
8 6 49
6 10 97
10 6 79
6 11 27
11 6 91
6 12 99
12 6 13
6 13 77
13 6 32
6 14 39
14 6 23
6 15 26
15 6 79
6 16 26
16 6 28
6 17 80
17 6 99
6 18 87
18 6 57
6 19 75
19 6 26
7 8 8
8 7 79
7 9 56
9 7 11
7 11 60
11 7 5
7 12 93
12 7 75
7 15 82
15 7 90
7 16 15
16 7 69
7 17 26
17 7 28
7 18 35
18 7 23
7 19 89
19 7 19
8 10 8
10 8 66
8 11 29
11 8 69
8 12 67
12 8 80
8 13 72
13 8 85
8 14 19
14 8 27
8 16 19
16 8 1
8 17 67
17 8 90
8 18 91
18 8 52
8 19 64
19 8 35
9 10 80
10 9 46
9 12 19
12 9 23
9 13 39
13 9 68
9 14 30
14 9 6
9 15 52
15 9 35
9 16 13
16 9 95
9 17 18
17 9 73
9 18 39
18 9 20
9 19 63
19 9 4
10 11 16
11 10 52
10 13 59
13 10 9
10 14 54
14 10 99
10 15 87
15 10 54
10 16 54
16 10 35
10 17 85
17 10 75
10 18 94
18 10 39
10 19 10
19 10 55
11 12 32
12 11 24
11 13 3
13 11 63
11 14 34
14 11 60
11 15 36
15 11 46
11 17 86
17 11 49
11 19 84
19 11 57
12 13 29
13 12 26
12 15 13
15 12 91
12 17 83
17 12 80
12 18 8
18 12 30
12 19 61
19 12 27
13 14 74
14 13 97
13 15 21
15 13 3
13 17 76
17 13 56
13 19 1
19 13 45
14 15 40
15 14 100
14 16 99
16 14 67
14 17 16
17 14 39
14 19 83
19 14 10
15 16 45
16 15 10
15 17 25
17 15 93
15 18 32
18 15 86
15 19 82
19 15 86
16 17 36
17 16 57
16 18 13
18 16 19
16 19 50
19 16 49
17 18 27
18 17 14
18 19 75
19 18 53
