50
71
2262
1 6
1 12
1 39
1 41
2 16
2 21
2 23
2 32
2 35
3 34
5 14
5 37
5 40
5 48
8 20
8 29
10 34
11 23
17 20
17 33
17 48
18 6
20 23
25 6
26 16
26 32
26 34
26 37
26 39
26 45
26 47
27 7
27 11
27 14
27 39
27 40
27 41
27 44
27 45
28 23
28 32
28 35
28 39
28 41
28 48
32 6
35 6
37 23
42 7
42 11
42 20
42 29
42 34
42 41
42 48
43 37
43 40
43 48
44 6
44 29
44 34
44 37
44 48
45 18
45 23
45 35
45 48
46 34
47 23
47 41
47 48
0 1 12
1 0 7
0 2 76
2 0 38
0 3 70
3 0 33
0 4 83
4 0 49
0 5 23
5 0 97
0 6 87
6 0 41
0 7 82
7 0 84
0 8 74
8 0 54
0 9 17
9 0 51
0 10 77
10 0 95
0 11 31
11 0 80
0 12 71
12 0 39
0 13 23
13 0 83
0 14 63
14 0 22
0 15 29
15 0 26
0 16 90
16 0 79
0 17 27
17 0 72
0 18 76
18 0 6
0 19 96
19 0 26
0 20 94
20 0 50
0 21 98
21 0 49
0 22 32
22 0 29
0 23 23
23 0 32
0 24 83
24 0 34
0 25 13
25 0 100
0 26 13
26 0 68
0 27 51
27 0 89
0 28 91
28 0 80
0 29 12
29 0 87
0 30 14
30 0 71
0 31 60
31 0 86
0 32 66
32 0 64
0 33 12
33 0 46
0 34 24
34 0 73
0 35 4
35 0 48
0 36 32
36 0 57
0 37 8
37 0 91
0 38 19
38 0 94
0 39 70
39 0 8
0 40 19
40 0 72
0 41 25
41 0 68
0 42 9
42 0 49
0 43 28
43 0 78
0 44 3
44 0 37
0 45 70
45 0 5
0 46 4
46 0 3
0 47 7
47 0 45
0 48 86
48 0 38
0 49 86
49 0 48
1 2 19
2 1 53
1 3 38
3 1 55
1 4 62
4 1 16
1 5 62
5 1 35
1 7 95
7 1 20
1 8 38
8 1 74
1 9 35
9 1 54
1 10 95
10 1 29
1 11 31
11 1 69
1 13 23
13 1 35
1 14 49
14 1 92
1 15 6
15 1 84
1 16 96
16 1 87
1 17 89
17 1 58
1 18 17
18 1 70
1 19 42
19 1 19
1 20 25
20 1 60
1 21 55
21 1 23
1 22 90
22 1 13
1 23 80
23 1 67
1 24 72
24 1 71
1 25 17
25 1 25
1 26 43
26 1 7
1 27 0
27 1 1
1 28 85
28 1 65
1 29 9
29 1 92
1 30 35
30 1 70
1 31 57
31 1 46
1 32 94
32 1 30
1 33 50
33 1 41
1 34 49
34 1 81
1 35 14
35 1 87
1 36 33
36 1 84
1 37 88
37 1 62
1 38 93
38 1 36
1 40 24
40 1 46
1 42 32
42 1 51
1 43 48
43 1 27
1 44 64
44 1 2
1 45 22
45 1 72
1 46 3
46 1 20
1 47 70
47 1 40
1 48 26
48 1 45
1 49 75
49 1 17
2 3 8
3 2 49
2 4 59
4 2 19
2 5 12
5 2 72
2 7 30
7 2 31
2 8 12
8 2 8
2 9 58
9 2 11
2 10 21
10 2 33
2 11 42
11 2 50
2 12 70
12 2 76
2 13 45
13 2 43
2 14 54
14 2 31
2 15 25
15 2 29
2 17 74
17 2 16
2 18 36
18 2 86
2 19 99
19 2 72
2 20 95
20 2 47
2 22 78
22 2 45
2 24 35
24 2 58
2 25 67
25 2 40
2 26 88
26 2 4
2 27 96
27 2 8
2 28 92
28 2 39
2 29 44
29 2 2
2 30 54
30 2 14
2 31 30
31 2 78
2 33 20
33 2 69
2 34 26
34 2 54
2 36 36
36 2 32
2 37 40
37 2 68
2 38 29
38 2 87
2 39 65
39 2 77
2 40 28
40 2 15
2 41 5
41 2 48
2 42 70
42 2 91
2 43 84
43 2 6
2 44 83
44 2 57
2 45 87
45 2 43
2 46 48
46 2 13
2 47 86
47 2 8
2 48 56
48 2 9
2 49 59
49 2 33
3 4 22
4 3 28
3 5 19
5 3 82
3 6 78
6 3 98
3 7 82
7 3 87
3 8 25
8 3 49
3 9 55
9 3 94
3 10 30
10 3 91
3 11 21
11 3 9
3 12 58
12 3 86
3 13 14
13 3 74
3 14 58
14 3 56
3 15 16
15 3 85
3 16 1
16 3 75
3 17 42
17 3 15
3 18 38
18 3 34
3 19 100
19 3 50
3 20 64
20 3 98
3 21 84
21 3 82
3 22 50
22 3 72
3 23 52
23 3 26
3 24 64
24 3 63
3 25 4
25 3 92
3 26 23
26 3 18
3 27 3
27 3 84
3 28 87
28 3 59
3 29 88
29 3 16
3 30 7
30 3 9
3 31 80
31 3 80
3 32 14
32 3 33
3 33 8
33 3 79
3 35 68
35 3 44
3 36 63
36 3 71
3 37 24
37 3 56
3 38 69
38 3 49
3 39 82
39 3 68
3 40 49
40 3 14
3 41 89
41 3 15
3 42 14
42 3 13
3 43 89
43 3 99
3 44 26
44 3 44
3 45 36
45 3 71
3 46 28
46 3 100
3 47 75
47 3 38
3 48 92
48 3 60
3 49 74
49 3 97
4 5 30
5 4 50
4 6 70
6 4 98
4 7 88
7 4 56
4 8 15
8 4 90
4 9 41
9 4 81
4 10 57
10 4 6
4 11 55
11 4 67
4 12 52
12 4 55
4 13 96
13 4 29
4 14 66
14 4 70
4 15 46
15 4 98
4 16 37
16 4 80
4 17 68
17 4 23
4 18 22
18 4 67
4 19 36
19 4 7
4 20 24
20 4 88
4 21 21
21 4 32
4 22 64
22 4 24
4 23 46
23 4 29
4 24 78
24 4 73
4 25 98
25 4 89
4 26 69
26 4 44
4 27 71
27 4 44
4 28 92
28 4 50
4 29 27
29 4 28
4 30 53
30 4 54
4 31 91
31 4 31
4 32 62
32 4 96
4 33 27
33 4 16
4 34 42
34 4 70
4 35 79
35 4 22
4 36 15
36 4 90
4 37 94
37 4 32
4 38 0
38 4 8
4 39 92
39 4 89
4 40 45
40 4 25
4 41 48
41 4 74
4 42 52
42 4 9
4 43 14
43 4 69
4 44 10
44 4 80
4 45 75
45 4 14
4 46 26
46 4 96
4 47 54
47 4 23
4 48 96
48 4 30
4 49 28
49 4 15
5 6 62
6 5 70
5 7 50
7 5 68
5 8 66
8 5 22
5 9 27
9 5 23
5 10 41
10 5 86
5 11 13
11 5 25
5 12 79
12 5 17
5 13 5
13 5 1
5 15 35
15 5 50
5 16 82
16 5 45
5 17 62
17 5 52
5 18 76
18 5 87
5 19 82
19 5 2
5 20 86
20 5 13
5 21 15
21 5 38
5 22 77
22 5 52
5 24 20
24 5 25
5 25 68
25 5 14
5 26 26
26 5 77
5 27 46
27 5 17
5 28 22
28 5 30
5 29 93
29 5 85
5 30 51
30 5 16
5 31 100
31 5 11
5 32 31
32 5 90
5 33 26
33 5 32
5 34 21
34 5 95
5 35 92
35 5 82
5 36 91
36 5 95
5 38 12
38 5 44
5 39 68
39 5 91
5 41 83
41 5 32
5 42 84
42 5 15
5 43 36
43 5 44
5 44 34
44 5 9
5 45 3
45 5 68
5 46 34
46 5 75
5 47 60
47 5 11
5 49 63
49 5 67
6 7 14
7 6 25
6 8 90
8 6 35
6 9 49
9 6 22
6 10 75
10 6 81
6 11 81
11 6 36
6 12 76
12 6 91
6 13 60
13 6 66
6 14 88
14 6 63
6 15 39
15 6 20
6 16 21
16 6 37
6 17 71
17 6 5
6 19 31
19 6 33
6 20 78
20 6 25
6 21 87
21 6 50
6 22 9
22 6 51
6 23 3
23 6 0
6 24 68
24 6 21
6 29 40
29 6 95
6 30 97
30 6 32
6 31 53
31 6 46
6 33 61
33 6 29
6 34 24
34 6 46
6 36 40
36 6 57
6 37 27
37 6 72
6 38 3
38 6 67
6 39 27
39 6 95
6 40 17
40 6 93
6 41 42
41 6 80
6 42 20
42 6 24
6 43 57
43 6 34
6 46 50
46 6 54
6 47 29
47 6 69
6 48 11
48 6 58
6 49 4
49 6 70
7 8 49
8 7 41
7 9 52
9 7 53
7 10 5
10 7 16
7 11 16
11 7 22
7 12 77
12 7 8
7 13 69
13 7 39
7 14 88
14 7 2
7 15 52
15 7 78
7 16 72
16 7 85
7 17 83
17 7 23
7 18 61
18 7 32
7 19 16
19 7 50
7 20 6
20 7 59
7 21 30
21 7 67
7 22 11
22 7 39
7 23 73
23 7 28
7 24 12
24 7 98
7 25 68
25 7 87
7 26 32
26 7 26
7 28 16
28 7 42
7 29 55
29 7 97
7 30 28
30 7 71
7 31 96
31 7 62
7 32 68
32 7 98
7 33 46
33 7 71
7 34 4
34 7 53
7 35 0
35 7 13
7 36 86
36 7 28
7 37 90
37 7 4
7 38 32
38 7 5
7 39 12
39 7 13
7 40 21
40 7 9
7 41 49
41 7 79
7 43 38
43 7 24
7 44 57
44 7 69
7 45 42
45 7 51
7 46 5
46 7 96
7 47 12
47 7 10
7 48 26
48 7 90
7 49 29
49 7 83
8 9 93
9 8 63
8 10 96
10 8 65
8 11 22
11 8 71
8 12 3
12 8 38
8 13 74
13 8 71
8 14 1
14 8 70
8 15 60
15 8 1
8 16 71
16 8 51
8 17 50
17 8 39
8 18 68
18 8 6
8 19 9
19 8 40
8 21 38
21 8 67
8 22 71
22 8 96
8 24 48
24 8 20
8 25 62
25 8 78
8 26 49
26 8 74
8 27 59
27 8 13
8 28 82
28 8 29
8 30 33
30 8 57
8 31 68
31 8 53
8 32 82
32 8 86
8 33 98
33 8 10
8 34 35
34 8 41
8 35 27
35 8 91
8 36 28
36 8 43
8 37 72
37 8 44
8 38 74
38 8 17
8 39 57
39 8 79
8 40 63
40 8 12
8 41 64
41 8 11
8 42 33
42 8 59
8 43 76
43 8 1
8 44 97
44 8 81
8 45 49
45 8 66
8 46 23
46 8 46
8 47 94
47 8 62
8 48 16
48 8 30
8 49 15
49 8 39
9 10 8
10 9 6
9 11 20
11 9 2
9 12 72
12 9 66
9 13 37
13 9 8
9 14 24
14 9 10
9 15 38
15 9 25
9 16 45
16 9 66
9 17 70
17 9 29
9 18 35
18 9 56
9 19 62
19 9 90
9 20 57
20 9 42
9 21 91
21 9 98
9 22 81
22 9 89
9 23 66
23 9 27
9 24 67
24 9 8
9 25 50
25 9 32
9 26 54
26 9 29
9 27 64
27 9 79
9 28 69
28 9 68
9 29 7
29 9 76
9 30 38
30 9 51
9 31 24
31 9 94
9 32 76
32 9 25
9 33 27
33 9 36
9 34 93
34 9 49
9 35 30
35 9 13
9 36 2
36 9 43
9 37 37
37 9 52
9 38 95
38 9 78
9 39 71
39 9 59
9 40 22
40 9 93
9 41 94
41 9 20
9 42 68
42 9 29
9 43 73
43 9 34
9 44 76
44 9 42
9 45 37
45 9 88
9 46 94
46 9 73
9 47 22
47 9 64
9 48 74
48 9 17
9 49 76
49 9 13
10 11 88
11 10 16
10 12 50
12 10 50
10 13 3
13 10 94
10 14 60
14 10 10
10 15 77
15 10 30
10 16 2
16 10 39
10 17 25
17 10 77
10 18 82
18 10 20
10 19 33
19 10 19
10 20 34
20 10 95
10 21 26
21 10 81
10 22 68
22 10 73
10 23 49
23 10 34
10 24 89
24 10 60
10 25 31
25 10 42
10 26 18
26 10 11
10 27 98
27 10 14
10 28 40
28 10 59
10 29 17
29 10 5
10 30 28
30 10 69
10 31 11
31 10 74
10 32 17
32 10 83
10 33 24
33 10 78
10 35 76
35 10 27
10 36 80
36 10 40
10 37 61
37 10 53
10 38 51
38 10 10
10 39 93
39 10 62
10 40 94
40 10 42
10 41 12
41 10 30
10 42 20
42 10 76
10 43 1
43 10 54
10 44 57
44 10 88
10 45 100
45 10 12
10 46 7
46 10 59
10 47 28
47 10 23
10 48 1
48 10 94
10 49 52
49 10 64
11 12 54
12 11 31
11 13 35
13 11 25
11 14 10
14 11 23
11 15 28
15 11 78
11 16 90
16 11 82
11 17 58
17 11 94
11 18 1
18 11 33
11 19 84
19 11 24
11 20 45
20 11 53
11 21 0
21 11 60
11 22 89
22 11 90
11 24 27
24 11 60
11 25 82
25 11 86
11 26 35
26 11 16
11 28 46
28 11 73
11 29 36
29 11 85
11 30 25
30 11 43
11 31 76
31 11 20
11 32 37
32 11 48
11 33 94
33 11 11
11 34 39
34 11 56
11 35 75
35 11 93
11 36 13
36 11 74
11 37 37
37 11 40
11 38 14
38 11 88
11 39 1
39 11 77
11 40 36
40 11 97
11 41 75
41 11 34
11 43 74
43 11 45
11 44 28
44 11 68
11 45 8
45 11 90
11 46 86
46 11 83
11 47 57
47 11 97
11 48 62
48 11 26
11 49 34
49 11 7
12 13 6
13 12 83
12 14 89
14 12 28
12 15 66
15 12 3
12 16 21
16 12 40
12 17 56
17 12 40
12 18 81
18 12 31
12 19 4
19 12 38
12 20 59
20 12 23
12 21 71
21 12 28
12 22 46
22 12 93
12 23 16
23 12 82
12 24 10
24 12 26
12 25 58
25 12 67
12 26 38
26 12 14
12 27 89
27 12 76
12 28 43
28 12 51
12 29 62
29 12 63
12 30 86
30 12 44
12 31 6
31 12 5
12 32 14
32 12 77
12 33 78
33 12 99
12 34 22
34 12 8
12 35 82
35 12 58
12 36 97
36 12 73
12 37 54
37 12 11
12 38 69
38 12 52
12 39 45
39 12 2
12 40 90
40 12 69
12 41 76
41 12 95
12 42 21
42 12 32
12 43 79
43 12 86
12 44 2
44 12 60
12 45 10
45 12 56
12 46 33
46 12 23
12 47 46
47 12 22
12 48 7
48 12 59
12 49 16
49 12 20
13 14 32
14 13 95
13 15 95
15 13 50
13 16 77
16 13 30
13 17 21
17 13 70
13 18 97
18 13 69
13 19 80
19 13 17
13 20 81
20 13 43
13 21 70
21 13 2
13 22 53
22 13 55
13 23 66
23 13 0
13 24 83
24 13 5
13 25 39
25 13 21
13 26 21
26 13 70
13 27 85
27 13 23
13 28 6
28 13 32
13 29 10
29 13 33
13 30 7
30 13 100
13 31 73
31 13 77
13 32 73
32 13 2
13 33 36
33 13 95
13 34 74
34 13 73
13 35 53
35 13 68
13 36 2
36 13 40
13 37 19
37 13 13
13 38 38
38 13 5
13 39 6
39 13 13
13 40 64
40 13 33
13 41 73
41 13 54
13 42 95
42 13 76
13 43 55
43 13 98
13 44 99
44 13 95
13 45 6
45 13 80
13 46 65
46 13 59
13 47 18
47 13 54
13 48 21
48 13 50
13 49 19
49 13 89
14 15 72
15 14 14
14 16 52
16 14 73
14 17 2
17 14 39
14 18 2
18 14 60
14 19 67
19 14 1
14 20 22
20 14 93
14 21 82
21 14 48
14 22 12
22 14 20
14 23 68
23 14 78
14 24 7
24 14 70
14 25 54
25 14 30
14 26 19
26 14 0
14 28 100
28 14 86
14 29 73
29 14 26
14 30 18
30 14 57
14 31 96
31 14 36
14 32 48
32 14 27
14 33 94
33 14 90
14 34 97
34 14 84
14 35 87
35 14 5
14 36 61
36 14 20
14 37 90
37 14 92
14 38 72
38 14 87
14 39 84
39 14 71
14 40 95
40 14 76
14 41 66
41 14 38
14 42 65
42 14 75
14 43 59
43 14 51
14 44 86
44 14 12
14 45 8
45 14 72
14 46 24
46 14 89
14 47 36
47 14 99
14 48 58
48 14 43
14 49 17
49 14 19
15 16 92
16 15 38
15 17 67
17 15 23
15 18 46
18 15 47
15 19 99
19 15 2
15 20 78
20 15 71
15 21 63
21 15 88
15 22 1
22 15 37
15 23 31
23 15 96
15 24 89
24 15 59
15 25 38
25 15 95
15 26 1
26 15 14
15 27 96
27 15 43
15 28 92
28 15 28
15 29 1
29 15 43
15 30 17
30 15 60
15 31 24
31 15 72
15 32 21
32 15 2
15 33 53
33 15 69
15 34 2
34 15 93
15 35 12
35 15 71
15 36 2
36 15 14
15 37 96
37 15 68
15 38 7
38 15 90
15 39 69
39 15 29
15 40 2
40 15 79
15 41 39
41 15 70
15 42 64
42 15 10
15 43 15
43 15 66
15 44 85
44 15 32
15 45 10
45 15 27
15 46 75
46 15 36
15 47 30
47 15 86
15 48 16
48 15 68
15 49 75
49 15 79
16 17 68
17 16 44
16 18 70
18 16 76
16 19 93
19 16 79
16 20 68
20 16 56
16 21 85
21 16 65
16 22 31
22 16 58
16 23 12
23 16 94
16 24 47
24 16 17
16 25 10
25 16 31
16 27 63
27 16 61
16 28 99
28 16 61
16 29 26
29 16 84
16 30 24
30 16 74
16 31 42
31 16 51
16 32 64
32 16 79
16 33 23
33 16 8
16 34 80
34 16 51
16 35 34
35 16 16
16 36 75
36 16 59
16 37 30
37 16 1
16 38 48
38 16 100
16 39 7
39 16 14
16 40 47
40 16 45
16 41 96
41 16 52
16 42 95
42 16 23
16 43 16
43 16 48
16 44 52
44 16 9
16 45 27
45 16 10
16 46 82
46 16 38
16 47 52
47 16 85
16 48 26
48 16 36
16 49 29
49 16 24
17 18 6
18 17 96
17 19 96
19 17 14
17 21 26
21 17 66
17 22 50
22 17 55
17 24 37
24 17 50
17 25 34
25 17 86
17 26 9
26 17 10
17 27 60
27 17 7
17 28 65
28 17 90
17 29 69
29 17 43
17 30 87
30 17 60
17 31 83
31 17 28
17 32 88
32 17 3
17 34 56
34 17 27
17 35 53
35 17 31
17 36 46
36 17 64
17 37 67
37 17 59
17 38 47
38 17 27
17 39 62
39 17 44
17 40 30
40 17 78
17 41 95
41 17 59
17 42 83
42 17 47
17 43 98
43 17 32
17 44 44
44 17 54
17 45 60
45 17 79
17 46 12
46 17 12
17 47 42
47 17 46
17 49 45
49 17 72
18 19 85
19 18 34
18 20 17
20 18 39
18 21 20
21 18 30
18 22 73
22 18 87
18 23 67
23 18 32
18 24 41
24 18 7
18 25 56
25 18 47
18 28 60
28 18 0
18 29 50
29 18 48
18 30 1
30 18 97
18 31 40
31 18 37
18 32 13
32 18 42
18 33 2
33 18 36
18 34 50
34 18 55
18 35 70
35 18 69
18 36 99
36 18 41
18 37 28
37 18 94
18 38 61
38 18 33
18 39 62
39 18 60
18 40 59
40 18 53
18 41 55
41 18 3
18 42 88
42 18 45
18 43 39
43 18 28
18 44 65
44 18 46
18 46 67
46 18 77
18 47 37
47 18 14
18 48 100
48 18 48
18 49 48
49 18 43
19 20 14
20 19 56
19 21 27
21 19 95
19 22 78
22 19 24
19 23 48
23 19 1
19 24 5
24 19 2
19 25 79
25 19 1
19 26 23
26 19 63
19 27 25
27 19 98
19 28 54
28 19 76
19 29 1
29 19 13
19 30 20
30 19 95
19 31 35
31 19 54
19 32 98
32 19 51
19 33 78
33 19 98
19 34 53
34 19 17
19 35 73
35 19 41
19 36 21
36 19 43
19 37 41
37 19 76
19 38 55
38 19 19
19 39 6
39 19 72
19 40 35
40 19 36
19 41 9
41 19 60
19 42 39
42 19 30
19 43 65
43 19 36
19 44 83
44 19 89
19 45 50
45 19 29
19 46 100
46 19 93
19 47 29
47 19 96
19 48 35
48 19 33
19 49 78
49 19 19
20 21 34
21 20 44
20 22 70
22 20 96
20 24 66
24 20 18
20 25 5
25 20 67
20 26 46
26 20 15
20 27 26
27 20 93
20 28 51
28 20 22
20 29 80
29 20 91
20 30 27
30 20 84
20 31 87
31 20 99
20 32 1
32 20 25
20 33 93
33 20 79
20 34 58
34 20 44
20 35 73
35 20 57
20 36 51
36 20 13
20 37 45
37 20 60
20 38 69
38 20 91
20 39 75
39 20 71
20 40 13
40 20 7
20 41 48
41 20 45
20 43 12
43 20 86
20 44 97
44 20 66
20 45 93
45 20 55
20 46 71
46 20 15
20 47 21
47 20 83
20 48 23
48 20 44
20 49 58
49 20 56
21 22 53
22 21 42
21 23 91
23 21 5
21 24 32
24 21 90
21 25 9
25 21 88
21 26 38
26 21 91
21 27 76
27 21 35
21 28 88
28 21 45
21 29 33
29 21 78
21 30 18
30 21 54
21 31 67
31 21 19
21 32 52
32 21 91
21 33 4
33 21 57
21 34 24
34 21 70
21 35 15
35 21 57
21 36 86
36 21 97
21 37 14
37 21 16
21 38 1
38 21 49
21 39 78
39 21 43
21 40 49
40 21 44
21 41 41
41 21 77
21 42 19
42 21 68
21 43 93
43 21 80
21 44 90
44 21 82
21 45 22
45 21 47
21 46 32
46 21 56
21 47 98
47 21 92
21 48 98
48 21 87
21 49 39
49 21 28
22 23 57
23 22 57
22 24 29
24 22 41
22 25 88
25 22 55
22 26 38
26 22 5
22 27 77
27 22 76
22 28 91
28 22 43
22 29 9
29 22 45
22 30 88
30 22 65
22 31 68
31 22 75
22 32 87
32 22 83
22 33 89
33 22 38
22 34 12
34 22 27
22 35 79
35 22 47
22 36 81
36 22 21
22 37 100
37 22 32
22 38 42
38 22 15
22 39 28
39 22 17
22 40 43
40 22 60
22 41 88
41 22 6
22 42 82
42 22 77
22 43 93
43 22 7
22 44 67
44 22 64
22 45 19
45 22 84
22 46 9
46 22 37
22 47 91
47 22 81
22 48 40
48 22 80
22 49 65
49 22 79
23 24 31
24 23 31
23 25 37
25 23 28
23 29 31
29 23 77
23 30 64
30 23 35
23 31 32
31 23 2
23 32 76
32 23 73
23 33 85
33 23 99
23 34 64
34 23 50
23 35 56
35 23 96
23 36 5
36 23 16
23 38 34
38 23 38
23 39 9
39 23 22
23 40 90
40 23 86
23 41 99
41 23 30
23 46 5
46 23 30
23 48 42
48 23 16
23 49 7
49 23 57
24 25 52
25 24 70
24 26 47
26 24 90
24 27 88
27 24 6
24 28 49
28 24 93
24 29 15
29 24 39
24 30 81
30 24 28
24 31 4
31 24 16
24 32 93
32 24 1
24 33 24
33 24 92
24 34 59
34 24 90
24 35 87
35 24 15
24 36 46
36 24 74
24 37 85
37 24 64
24 38 95
38 24 1
24 39 15
39 24 71
24 40 12
40 24 95
24 41 6
41 24 35
24 42 100
42 24 79
24 43 87
43 24 38
24 44 48
44 24 24
24 45 41
45 24 64
24 46 17
46 24 43
24 47 69
47 24 36
24 48 28
48 24 50
24 49 6
49 24 62
25 26 60
26 25 26
25 27 93
27 25 88
25 28 79
28 25 43
25 29 95
29 25 99
25 30 4
30 25 38
25 31 19
31 25 19
25 32 78
32 25 67
25 33 87
33 25 47
25 34 7
34 25 27
25 35 55
35 25 5
25 36 54
36 25 19
25 37 40
37 25 73
25 38 98
38 25 21
25 39 52
39 25 17
25 40 24
40 25 82
25 41 58
41 25 96
25 42 67
42 25 85
25 43 62
43 25 92
25 44 47
44 25 54
25 45 57
45 25 18
25 46 81
46 25 36
25 47 2
47 25 81
25 48 28
48 25 5
25 49 81
49 25 69
26 27 59
27 26 9
26 28 99
28 26 28
26 29 76
29 26 2
26 30 7
30 26 23
26 31 62
31 26 88
26 33 98
33 26 76
26 36 93
36 26 51
26 38 85
38 26 23
26 40 79
40 26 57
26 42 48
42 26 78
26 43 35
43 26 10
26 44 88
44 26 93
26 46 74
46 26 28
26 49 3
49 26 27
27 28 91
28 27 0
27 30 5
30 27 24
27 31 48
31 27 58
27 32 20
32 27 61
27 33 73
33 27 23
27 36 28
36 27 47
27 38 68
38 27 48
27 42 0
42 27 90
27 43 93
43 27 55
27 46 66
46 27 31
27 47 96
47 27 43
27 49 53
49 27 71
28 29 27
29 28 3
28 30 24
30 28 68
28 31 8
31 28 99
28 33 32
33 28 36
28 34 8
34 28 94
28 36 64
36 28 3
28 37 44
37 28 91
28 38 38
38 28 37
28 40 43
40 28 34
28 42 72
42 28 40
28 43 65
43 28 55
28 44 51
44 28 87
28 45 76
45 28 21
28 46 91
46 28 67
28 47 80
47 28 60
28 49 92
49 28 99
29 30 78
30 29 34
29 31 41
31 29 50
29 32 14
32 29 3
29 33 62
33 29 2
29 34 56
34 29 43
29 35 1
35 29 6
29 36 66
36 29 92
29 37 11
37 29 59
29 38 44
38 29 96
