10
11
68
0 1
0 2
1 4
2 3
3 4
4 5
4 6
5 7
6 7
7 8
8 9
0 3 54
3 0 81
0 4 17
4 0 32
0 5 66
5 0 0
0 6 63
6 0 79
0 7 29
7 0 79
0 8 22
8 0 40
0 9 80
9 0 86
1 2 14
2 1 35
1 3 41
3 1 71
1 5 14
5 1 58
1 6 26
6 1 5
1 7 27
7 1 68
1 8 22
8 1 34
1 9 14
9 1 83
2 4 94
4 2 53
2 5 92
5 2 6
2 6 30
6 2 60
2 7 13
7 2 83
2 8 95
8 2 91
2 9 61
9 2 44
3 5 76
5 3 21
3 6 60
6 3 47
3 7 47
7 3 66
3 8 11
8 3 14
3 9 91
9 3 22
4 7 25
7 4 13
4 8 24
8 4 98
4 9 30
9 4 75
5 6 43
6 5 75
5 8 88
8 5 19
5 9 97
9 5 46
6 8 21
8 6 70
6 9 39
9 6 52
7 9 11
9 7 21
