30
37
796
28 29
27 28
26 28
25 26
25 27
24 25
23 24
22 23
21 22
20 22
19 24
18 19
18 20
17 18
17 21
16 17
15 16
14 16
13 15
12 13
12 14
11 12
10 13
10 14
9 10
9 12
8 9
8 11
7 8
6 8
5 6
4 5
4 7
3 4
2 3
1 2
0 1
0 2 62
2 0 44
0 3 84
3 0 14
0 4 81
4 0 7
0 5 40
5 0 71
0 6 78
6 0 28
0 7 61
7 0 84
0 8 84
8 0 3
0 9 33
9 0 43
0 10 13
10 0 37
0 11 21
11 0 44
0 12 83
12 0 60
0 13 75
13 0 11
0 14 28
14 0 91
0 15 71
15 0 20
0 16 81
16 0 11
0 17 52
17 0 62
0 18 43
18 0 60
0 19 88
19 0 85
0 20 54
20 0 42
0 21 65
21 0 61
0 22 54
22 0 15
0 23 40
23 0 32
0 24 63
24 0 70
0 25 22
25 0 18
0 26 2
26 0 82
0 27 85
27 0 62
0 28 18
28 0 54
0 29 66
29 0 7
1 3 95
3 1 87
1 4 65
4 1 69
1 5 39
5 1 76
1 6 19
6 1 69
1 7 23
7 1 18
1 8 38
8 1 57
1 9 21
9 1 77
1 10 23
10 1 61
1 11 88
11 1 4
1 12 41
12 1 39
1 13 96
13 1 25
1 14 85
14 1 54
1 15 1
15 1 61
1 16 58
16 1 100
1 17 92
17 1 83
1 18 64
18 1 13
1 19 19
19 1 71
1 20 48
20 1 90
1 21 2
21 1 46
1 22 20
22 1 25
1 23 52
23 1 46
1 24 84
24 1 49
1 25 89
25 1 49
1 26 55
26 1 8
1 27 21
27 1 46
1 28 39
28 1 53
1 29 9
29 1 9
2 4 19
4 2 99
2 5 58
5 2 80
2 6 39
6 2 28
2 7 51
7 2 45
2 8 99
8 2 77
2 9 51
9 2 98
2 10 62
10 2 30
2 11 51
11 2 11
2 12 58
12 2 89
2 13 14
13 2 26
2 14 8
14 2 9
2 15 25
15 2 81
2 16 69
16 2 42
2 17 9
17 2 41
2 18 59
18 2 78
2 19 1
19 2 17
2 20 23
20 2 66
2 21 60
21 2 39
2 22 5
22 2 32
2 23 75
23 2 34
2 24 39
24 2 20
2 25 98
25 2 83
2 26 90
26 2 43
2 27 21
27 2 18
2 28 96
28 2 2
2 29 21
29 2 18
3 5 81
5 3 40
3 6 24
6 3 45
3 7 53
7 3 66
3 8 37
8 3 63
3 9 6
9 3 76
3 10 71
10 3 24
3 11 22
11 3 95
3 12 65
12 3 13
3 13 92
13 3 53
3 14 61
14 3 44
3 15 17
15 3 0
3 16 5
16 3 78
3 17 29
17 3 1
3 18 16
18 3 90
3 19 48
19 3 100
3 20 32
20 3 99
3 21 28
21 3 47
3 22 92
22 3 1
3 23 9
23 3 31
3 24 39
24 3 37
3 25 41
25 3 36
3 26 91
26 3 62
3 27 80
27 3 75
3 28 96
28 3 47
3 29 50
29 3 1
4 6 45
6 4 39
4 8 92
8 4 93
4 9 20
9 4 88
4 10 5
10 4 23
4 11 73
11 4 33
4 12 34
12 4 40
4 13 23
13 4 9
4 14 65
14 4 49
4 15 30
15 4 19
4 16 85
16 4 7
4 17 5
17 4 40
4 18 60
18 4 36
4 19 48
19 4 19
4 20 13
20 4 1
4 21 20
21 4 66
4 22 97
22 4 74
4 23 53
23 4 74
4 24 77
24 4 67
4 25 71
25 4 22
4 26 19
26 4 6
4 27 92
27 4 35
4 28 25
28 4 18
4 29 78
29 4 71
5 7 28
7 5 78
5 8 62
8 5 71
5 9 74
9 5 34
5 10 98
10 5 30
5 11 78
11 5 53
5 12 24
12 5 37
5 13 90
13 5 15
5 14 8
14 5 66
5 15 64
15 5 75
5 16 95
16 5 61
5 17 66
17 5 65
5 18 18
18 5 22
5 19 69
19 5 4
5 20 74
20 5 64
5 21 78
21 5 70
5 22 14
22 5 77
5 23 31
23 5 39
5 24 17
24 5 5
5 25 6
25 5 24
5 26 34
26 5 55
5 27 88
27 5 2
5 28 16
28 5 42
5 29 35
29 5 76
6 7 20
7 6 84
6 9 66
9 6 20
6 10 68
10 6 54
6 11 96
11 6 48
6 12 2
12 6 20
6 13 66
13 6 60
6 14 50
14 6 54
6 15 8
15 6 86
6 16 51
16 6 95
6 17 63
17 6 13
6 18 16
18 6 89
6 19 77
19 6 3
6 20 79
20 6 76
6 21 16
21 6 40
6 22 46
22 6 56
6 23 58
23 6 21
6 24 12
24 6 71
6 25 86
25 6 21
6 26 86
26 6 5
6 27 28
27 6 59
6 28 74
28 6 19
6 29 22
29 6 93
7 9 34
9 7 49
7 10 55
10 7 47
7 11 2
11 7 8
7 12 24
12 7 55
7 13 50
13 7 60
7 14 84
14 7 82
7 15 22
15 7 76
7 16 30
16 7 55
7 17 8
17 7 96
7 18 86
18 7 24
7 19 46
19 7 16
7 20 59
20 7 77
7 21 38
21 7 33
7 22 42
22 7 62
7 23 87
23 7 97
7 24 7
24 7 72
7 25 26
25 7 51
7 26 10
26 7 75
7 27 55
27 7 0
7 28 7
28 7 29
7 29 61
29 7 21
8 10 17
10 8 54
8 12 67
12 8 31
8 13 84
13 8 18
8 14 78
14 8 82
8 15 60
15 8 67
8 16 34
16 8 19
8 17 83
17 8 36
8 18 11
18 8 32
8 19 59
19 8 44
8 20 67
20 8 2
8 21 84
21 8 39
8 22 32
22 8 85
8 23 5
23 8 95
8 24 26
24 8 39
8 25 80
25 8 64
8 26 61
26 8 25
8 27 9
27 8 36
8 28 54
28 8 37
8 29 83
29 8 78
9 11 8
11 9 17
9 13 99
13 9 20
9 14 32
14 9 46
9 15 67
15 9 55
9 16 37
16 9 70
9 17 20
17 9 51
9 18 71
18 9 41
9 19 77
19 9 4
9 20 53
20 9 52
9 21 29
21 9 93
9 22 93
22 9 1
9 23 57
23 9 48
9 24 96
24 9 30
9 25 53
25 9 9
9 26 81
26 9 66
9 27 77
27 9 30
9 28 71
28 9 3
9 29 54
29 9 93
10 11 38
11 10 30
10 12 13
12 10 3
10 15 100
15 10 41
10 16 10
16 10 67
10 17 11
17 10 52
10 18 2
18 10 23
10 19 48
19 10 80
10 20 41
20 10 24
10 21 25
21 10 96
10 22 96
22 10 7
10 23 42
23 10 44
10 24 49
24 10 5
10 25 29
25 10 76
10 26 22
26 10 67
10 27 31
27 10 9
10 28 26
28 10 15
10 29 58
29 10 19
11 13 56
13 11 19
11 14 49
14 11 70
11 15 48
15 11 62
11 16 86
16 11 72
11 17 35
17 11 75
11 18 40
18 11 66
11 19 90
19 11 85
11 20 80
20 11 84
11 21 18
21 11 44
11 22 2
22 11 49
11 23 61
23 11 61
11 24 36
24 11 70
11 25 68
25 11 31
11 26 35
26 11 73
11 27 71
27 11 63
11 28 25
28 11 10
11 29 59
29 11 48
12 15 68
15 12 65
12 16 47
16 12 70
12 17 8
17 12 16
12 18 47
18 12 29
12 19 100
19 12 34
12 20 39
20 12 65
12 21 40
21 12 74
12 22 65
22 12 56
12 23 24
23 12 10
12 24 18
24 12 91
12 25 69
25 12 10
12 26 30
26 12 46
12 27 70
27 12 72
12 28 79
28 12 84
12 29 43
29 12 48
13 14 28
14 13 36
13 16 22
16 13 49
13 17 85
17 13 74
13 18 67
18 13 45
13 19 72
19 13 62
13 20 90
20 13 22
13 21 83
21 13 64
13 22 14
22 13 97
13 23 46
23 13 31
13 24 39
24 13 64
13 25 61
25 13 97
13 26 20
26 13 34
13 27 81
27 13 86
13 28 68
28 13 19
13 29 17
29 13 92
14 15 53
15 14 48
14 17 87
17 14 79
14 18 86
18 14 26
14 19 83
19 14 20
14 20 81
20 14 92
14 21 89
21 14 91
14 22 26
22 14 17
14 23 58
23 14 71
14 24 18
24 14 2
14 25 82
25 14 45
14 26 46
26 14 99
14 27 51
27 14 81
14 28 68
28 14 56
14 29 17
29 14 27
15 17 25
17 15 57
15 18 15
18 15 9
15 19 36
19 15 55
15 20 96
20 15 74
15 21 49
21 15 26
15 22 55
22 15 71
15 23 28
23 15 70
15 24 32
24 15 87
15 25 26
25 15 92
15 26 76
26 15 34
15 27 5
27 15 30
15 28 26
28 15 94
15 29 10
29 15 26
16 18 14
18 16 38
16 19 36
19 16 69
16 20 77
20 16 84
16 21 40
21 16 44
16 22 26
22 16 46
16 23 76
23 16 19
16 24 69
24 16 68
16 25 34
25 16 9
16 26 34
26 16 99
16 27 55
27 16 56
16 28 36
28 16 51
16 29 54
29 16 87
17 19 56
19 17 56
17 20 17
20 17 14
17 22 20
22 17 86
17 23 20
23 17 81
17 24 60
24 17 38
17 25 93
25 17 75
17 26 1
26 17 64
17 27 37
27 17 54
17 28 65
28 17 12
17 29 18
29 17 59
18 21 81
21 18 57
18 22 99
22 18 67
18 23 8
23 18 8
18 24 71
24 18 71
18 25 61
25 18 10
18 26 18
26 18 78
18 27 11
27 18 89
18 28 80
28 18 34
18 29 75
29 18 28
19 20 82
20 19 46
19 21 53
21 19 57
19 22 3
22 19 56
19 23 20
23 19 19
19 25 53
25 19 29
19 26 7
26 19 69
19 27 47
27 19 58
19 28 64
28 19 82
19 29 47
29 19 72
20 21 58
21 20 61
20 23 67
23 20 24
20 24 75
24 20 28
20 25 35
25 20 30
20 26 36
26 20 53
20 27 80
27 20 55
20 28 31
28 20 14
20 29 82
29 20 27
21 23 12
23 21 2
21 24 43
24 21 30
21 25 52
25 21 43
21 26 57
26 21 84
21 27 40
27 21 79
21 28 37
28 21 13
21 29 72
29 21 54
22 24 9
24 22 81
22 25 24
25 22 34
22 26 90
26 22 74
22 27 61
27 22 22
22 28 35
28 22 67
22 29 33
29 22 33
23 25 69
25 23 93
23 26 78
26 23 61
23 27 4
27 23 32
23 28 23
28 23 35
23 29 56
29 23 8
24 26 67
26 24 52
24 27 87
27 24 20
24 28 80
28 24 30
24 29 10
29 24 37
25 28 63
28 25 13
25 29 94
29 25 41
26 27 44
27 26 5
26 29 67
29 26 40
27 29 88
29 27 21
