30
50
770
27 28
26 28
26 29
25 26
25 27
24 27
23 24
23 25
22 26
21 23
20 23
19 25
18 19
18 20
18 22
17 19
17 20
17 21
17 22
16 20
16 21
15 16
15 18
14 16
14 19
14 22
13 15
13 17
12 16
12 17
12 18
11 12
11 13
10 13
10 14
9 12
9 14
8 9
8 10
8 11
7 8
6 8
5 6
4 5
3 5
3 7
2 3
2 4
1 3
0 1
0 2 62
2 0 44
0 3 84
3 0 14
0 4 81
4 0 7
0 5 40
5 0 71
0 6 78
6 0 28
0 7 61
7 0 84
0 8 84
8 0 3
0 9 33
9 0 43
0 10 13
10 0 37
0 11 21
11 0 44
0 12 83
12 0 60
0 13 75
13 0 11
0 14 28
14 0 91
0 15 71
15 0 20
0 16 81
16 0 11
0 17 52
17 0 62
0 18 43
18 0 60
0 19 88
19 0 85
0 20 54
20 0 42
0 21 65
21 0 61
0 22 54
22 0 15
0 23 40
23 0 32
0 24 63
24 0 70
0 25 22
25 0 18
0 26 2
26 0 82
0 27 85
27 0 62
0 28 18
28 0 54
0 29 66
29 0 7
1 2 95
2 1 87
1 4 65
4 1 69
1 5 39
5 1 76
1 6 19
6 1 69
1 7 23
7 1 18
1 8 38
8 1 57
1 9 21
9 1 77
1 10 23
10 1 61
1 11 88
11 1 4
1 12 41
12 1 39
1 13 96
13 1 25
1 14 85
14 1 54
1 15 1
15 1 61
1 16 58
16 1 100
1 17 92
17 1 83
1 18 64
18 1 13
1 19 19
19 1 71
1 20 48
20 1 90
1 21 2
21 1 46
1 22 20
22 1 25
1 23 52
23 1 46
1 24 84
24 1 49
1 25 89
25 1 49
1 26 55
26 1 8
1 27 21
27 1 46
1 28 39
28 1 53
1 29 9
29 1 9
2 5 19
5 2 99
2 6 58
6 2 80
2 7 39
7 2 28
2 8 51
8 2 45
2 9 99
9 2 77
2 10 51
10 2 98
2 11 62
11 2 30
2 12 51
12 2 11
2 13 58
13 2 89
2 14 14
14 2 26
2 15 8
15 2 9
2 16 25
16 2 81
2 17 69
17 2 42
2 18 9
18 2 41
2 19 59
19 2 78
2 20 1
20 2 17
2 21 23
21 2 66
2 22 60
22 2 39
2 23 5
23 2 32
2 24 75
24 2 34
2 25 39
25 2 20
2 26 98
26 2 83
2 27 90
27 2 43
2 28 21
28 2 18
2 29 96
29 2 2
3 4 21
4 3 18
3 6 81
6 3 40
3 8 24
8 3 45
3 9 53
9 3 66
3 10 37
10 3 63
3 11 6
11 3 76
3 12 71
12 3 24
3 13 22
13 3 95
3 14 65
14 3 13
3 15 92
15 3 53
3 16 61
16 3 44
3 17 17
17 3 0
3 18 5
18 3 78
3 19 29
19 3 1
3 20 16
20 3 90
3 21 48
21 3 100
3 22 32
22 3 99
3 23 28
23 3 47
3 24 92
24 3 1
3 25 9
25 3 31
3 26 39
26 3 37
3 27 41
27 3 36
3 28 91
28 3 62
3 29 80
29 3 75
4 6 96
6 4 47
4 7 50
7 4 1
4 8 45
8 4 39
4 9 92
9 4 93
4 10 20
10 4 88
4 11 5
11 4 23
4 12 73
12 4 33
4 13 34
13 4 40
4 14 23
14 4 9
4 15 65
15 4 49
4 16 30
16 4 19
4 17 85
17 4 7
4 18 5
18 4 40
4 19 60
19 4 36
4 20 48
20 4 19
4 21 13
21 4 1
4 22 20
22 4 66
4 23 97
23 4 74
4 24 53
24 4 74
4 25 77
25 4 67
4 26 71
26 4 22
4 27 19
27 4 6
4 28 92
28 4 35
4 29 25
29 4 18
5 7 78
7 5 71
5 8 28
8 5 78
5 9 62
9 5 71
5 10 74
10 5 34
5 11 98
11 5 30
5 12 78
12 5 53
5 13 24
13 5 37
5 14 90
14 5 15
5 15 8
15 5 66
5 16 64
16 5 75
5 17 95
17 5 61
5 18 66
18 5 65
5 19 18
19 5 22
5 20 69
20 5 4
5 21 74
21 5 64
5 22 78
22 5 70
5 23 14
23 5 77
5 24 31
24 5 39
5 25 17
25 5 5
5 26 6
26 5 24
5 27 34
27 5 55
5 28 88
28 5 2
5 29 16
29 5 42
6 7 35
7 6 76
6 9 20
9 6 84
6 10 66
10 6 20
6 11 68
11 6 54
6 12 96
12 6 48
6 13 2
13 6 20
6 14 66
14 6 60
6 15 50
15 6 54
6 16 8
16 6 86
6 17 51
17 6 95
6 18 63
18 6 13
6 19 16
19 6 89
6 20 77
20 6 3
6 21 79
21 6 76
6 22 16
22 6 40
6 23 46
23 6 56
6 24 58
24 6 21
6 25 12
25 6 71
6 26 86
26 6 21
6 27 86
27 6 5
6 28 28
28 6 59
6 29 74
29 6 19
7 9 22
9 7 93
7 10 34
10 7 49
7 11 55
11 7 47
7 12 2
12 7 8
7 13 24
13 7 55
7 14 50
14 7 60
7 15 84
15 7 82
7 16 22
16 7 76
7 17 30
17 7 55
7 18 8
18 7 96
7 19 86
19 7 24
7 20 46
20 7 16
7 21 59
21 7 77
7 22 38
22 7 33
7 23 42
23 7 62
7 24 87
24 7 97
7 25 7
25 7 72
7 26 26
26 7 51
7 27 10
27 7 75
7 28 55
28 7 0
7 29 7
29 7 29
8 12 61
12 8 21
8 13 17
13 8 54
8 14 67
14 8 31
8 15 84
15 8 18
8 16 78
16 8 82
8 17 60
17 8 67
8 18 34
18 8 19
8 19 83
19 8 36
8 20 11
20 8 32
8 21 59
21 8 44
8 22 67
22 8 2
8 23 84
23 8 39
8 24 32
24 8 85
8 25 5
25 8 95
8 26 26
26 8 39
8 27 80
27 8 64
8 28 61
28 8 25
8 29 9
29 8 36
9 10 54
10 9 37
9 11 83
11 9 78
9 13 8
13 9 17
9 15 99
15 9 20
9 16 32
16 9 46
9 17 67
17 9 55
9 18 37
18 9 70
9 19 20
19 9 51
9 20 71
20 9 41
9 21 77
21 9 4
9 22 53
22 9 52
9 23 29
23 9 93
9 24 93
24 9 1
9 25 57
25 9 48
9 26 96
26 9 30
9 27 53
27 9 9
9 28 81
28 9 66
9 29 77
29 9 30
10 11 71
11 10 3
10 12 54
12 10 93
10 15 38
15 10 30
10 16 13
16 10 3
10 17 100
17 10 41
10 18 10
18 10 67
10 19 11
19 10 52
10 20 2
20 10 23
10 21 48
21 10 80
10 22 41
22 10 24
10 23 25
23 10 96
10 24 96
24 10 7
10 25 42
25 10 44
10 26 49
26 10 5
10 27 29
27 10 76
10 28 22
28 10 67
10 29 31
29 10 9
11 14 26
14 11 15
11 15 58
15 11 19
11 16 56
16 11 19
11 17 49
17 11 70
11 18 48
18 11 62
11 19 86
19 11 72
11 20 35
20 11 75
11 21 40
21 11 66
11 22 90
22 11 85
11 23 80
23 11 84
11 24 18
24 11 44
11 25 2
25 11 49
11 26 61
26 11 61
11 27 36
27 11 70
11 28 68
28 11 31
11 29 35
29 11 73
12 13 71
13 12 63
12 14 25
14 12 10
12 15 59
15 12 48
12 19 68
19 12 65
12 20 47
20 12 70
12 21 8
21 12 16
12 22 47
22 12 29
12 23 100
23 12 34
12 24 39
24 12 65
12 25 40
25 12 74
12 26 65
26 12 56
12 27 24
27 12 10
12 28 18
28 12 91
12 29 69
29 12 10
13 14 30
14 13 46
13 16 70
16 13 72
13 18 79
18 13 84
13 19 43
19 13 48
13 20 28
20 13 36
13 21 22
21 13 49
13 22 85
22 13 74
13 23 67
23 13 45
13 24 72
24 13 62
13 25 90
25 13 22
13 26 83
26 13 64
13 27 14
27 13 97
13 28 46
28 13 31
13 29 39
29 13 64
14 15 61
15 14 97
14 17 20
17 14 34
14 18 81
18 14 86
14 20 68
20 14 19
14 21 17
21 14 92
14 23 53
23 14 48
14 24 87
24 14 79
14 25 86
25 14 26
14 26 83
26 14 20
14 27 81
27 14 92
14 28 89
28 14 91
14 29 26
29 14 17
15 17 58
17 15 71
15 19 18
19 15 2
15 20 82
20 15 45
15 21 46
21 15 99
15 22 51
22 15 81
15 23 68
23 15 56
15 24 17
24 15 27
15 25 25
25 15 57
15 26 15
26 15 9
15 27 36
27 15 55
15 28 96
28 15 74
15 29 49
29 15 26
16 17 55
17 16 71
16 18 28
18 16 70
16 19 32
19 16 87
16 22 26
22 16 92
16 23 76
23 16 34
16 24 5
24 16 30
16 25 26
25 16 94
16 26 10
26 16 26
16 27 14
27 16 38
16 28 36
28 16 69
16 29 77
29 16 84
17 18 40
18 17 44
17 23 26
23 17 46
17 24 76
24 17 19
17 25 69
25 17 68
17 26 34
26 17 9
17 27 34
27 17 99
17 28 55
28 17 56
17 29 36
29 17 51
18 21 54
21 18 87
18 23 56
23 18 56
18 24 17
24 18 14
18 25 20
25 18 86
18 26 20
26 18 81
18 27 60
27 18 38
18 28 93
28 18 75
18 29 1
29 18 64
19 20 37
20 19 54
19 21 65
21 19 12
19 22 18
22 19 59
19 23 81
23 19 57
19 24 99
24 19 67
19 26 8
26 19 8
19 27 71
27 19 71
19 28 61
28 19 10
19 29 18
29 19 78
20 21 11
21 20 89
20 22 80
22 20 34
20 24 75
24 20 28
20 25 82
25 20 46
20 26 53
26 20 57
20 27 3
27 20 56
20 28 20
28 20 19
20 29 53
29 20 29
21 22 7
22 21 69
21 24 47
24 21 58
21 25 64
25 21 82
21 26 47
26 21 72
21 27 58
27 21 61
21 28 67
28 21 24
21 29 75
29 21 28
22 23 35
23 22 30
22 24 36
24 22 53
22 25 80
25 22 55
22 27 31
27 22 14
22 28 82
28 22 27
22 29 12
29 22 2
23 26 43
26 23 30
23 27 52
27 23 43
23 28 57
28 23 84
23 29 40
29 23 79
24 25 37
25 24 13
24 26 72
26 24 54
24 28 9
28 24 81
24 29 24
29 24 34
25 28 90
28 25 74
25 29 61
29 25 22
26 27 35
27 26 67
27 29 33
29 27 33
28 29 69
29 28 93
