30
55
760
26 29
25 26
24 28
23 24
21 24
21 26
18 24
17 21
17 22
15 18
15 19
15 21
15 27
14 22
14 23
14 25
14 27
13 15
13 25
12 24
12 26
11 12
11 17
10 16
10 21
10 22
9 19
9 20
9 23
9 26
8 9
8 12
8 25
7 8
7 22
7 27
6 14
6 19
6 21
5 6
5 9
5 15
5 16
4 10
4 12
4 25
3 13
3 23
2 3
2 4
1 7
1 13
1 16
1 17
0 26
0 1 62
1 0 44
0 2 84
2 0 14
0 3 81
3 0 7
0 4 40
4 0 71
0 5 78
5 0 28
0 6 61
6 0 84
0 7 84
7 0 3
0 8 33
8 0 43
0 9 13
9 0 37
0 10 21
10 0 44
0 11 83
11 0 60
0 12 75
12 0 11
0 13 28
13 0 91
0 14 71
14 0 20
0 15 81
15 0 11
0 16 52
16 0 62
0 17 43
17 0 60
0 18 88
18 0 85
0 19 54
19 0 42
0 20 65
20 0 61
0 21 54
21 0 15
0 22 40
22 0 32
0 23 63
23 0 70
0 24 22
24 0 18
0 25 2
25 0 82
0 27 85
27 0 62
0 28 18
28 0 54
0 29 66
29 0 7
1 2 95
2 1 87
1 3 65
3 1 69
1 4 39
4 1 76
1 5 19
5 1 69
1 6 23
6 1 18
1 8 38
8 1 57
1 9 21
9 1 77
1 10 23
10 1 61
1 11 88
11 1 4
1 12 41
12 1 39
1 14 96
14 1 25
1 15 85
15 1 54
1 18 1
18 1 61
1 19 58
19 1 100
1 20 92
20 1 83
1 21 64
21 1 13
1 22 19
22 1 71
1 23 48
23 1 90
1 24 2
24 1 46
1 25 20
25 1 25
1 26 52
26 1 46
1 27 84
27 1 49
1 28 89
28 1 49
1 29 55
29 1 8
2 5 21
5 2 46
2 6 39
6 2 53
2 7 9
7 2 9
2 8 19
8 2 99
2 9 58
9 2 80
2 10 39
10 2 28
2 11 51
11 2 45
2 12 99
12 2 77
2 13 51
13 2 98
2 14 62
14 2 30
2 15 51
15 2 11
2 16 58
16 2 89
2 17 14
17 2 26
2 18 8
18 2 9
2 19 25
19 2 81
2 20 69
20 2 42
2 21 9
21 2 41
2 22 59
22 2 78
2 23 1
23 2 17
2 24 23
24 2 66
2 25 60
25 2 39
2 26 5
26 2 32
2 27 75
27 2 34
2 28 39
28 2 20
2 29 98
29 2 83
3 4 90
4 3 43
3 5 21
5 3 18
3 6 96
6 3 2
3 7 21
7 3 18
3 8 81
8 3 40
3 9 24
9 3 45
3 10 53
10 3 66
3 11 37
11 3 63
3 12 6
12 3 76
3 14 71
14 3 24
3 15 22
15 3 95
3 16 65
16 3 13
3 17 92
17 3 53
3 18 61
18 3 44
3 19 17
19 3 0
3 20 5
20 3 78
3 21 29
21 3 1
3 22 16
22 3 90
3 24 48
24 3 100
3 25 32
25 3 99
3 26 28
26 3 47
3 27 92
27 3 1
3 28 9
28 3 31
3 29 39
29 3 37
4 5 41
5 4 36
4 6 91
6 4 62
4 7 80
7 4 75
4 8 96
8 4 47
4 9 50
9 4 1
4 11 45
11 4 39
4 13 92
13 4 93
4 14 20
14 4 88
4 15 5
15 4 23
4 16 73
16 4 33
4 17 34
17 4 40
4 18 23
18 4 9
4 19 65
19 4 49
4 20 30
20 4 19
4 21 85
21 4 7
4 22 5
22 4 40
4 23 60
23 4 36
4 24 48
24 4 19
4 26 13
26 4 1
4 27 20
27 4 66
4 28 97
28 4 74
4 29 53
29 4 74
5 7 77
7 5 67
5 8 71
8 5 22
5 10 19
10 5 6
5 11 92
11 5 35
5 12 25
12 5 18
5 13 78
13 5 71
5 14 28
14 5 78
5 17 62
17 5 71
5 18 74
18 5 34
5 19 98
19 5 30
5 20 78
20 5 53
5 21 24
21 5 37
5 22 90
22 5 15
5 23 8
23 5 66
5 24 64
24 5 75
5 25 95
25 5 61
5 26 66
26 5 65
5 27 18
27 5 22
5 28 69
28 5 4
5 29 74
29 5 64
6 7 78
7 6 70
6 8 14
8 6 77
6 9 31
9 6 39
6 10 17
10 6 5
6 11 6
11 6 24
6 12 34
12 6 55
6 13 88
13 6 2
6 15 16
15 6 42
6 16 35
16 6 76
6 17 20
17 6 84
6 18 66
18 6 20
6 20 68
20 6 54
6 22 96
22 6 48
6 23 2
23 6 20
6 24 66
24 6 60
6 25 50
25 6 54
6 26 8
26 6 86
6 27 51
27 6 95
6 28 63
28 6 13
6 29 16
29 6 89
7 9 77
9 7 3
7 10 79
10 7 76
7 11 16
11 7 40
7 12 46
12 7 56
7 13 58
13 7 21
7 14 12
14 7 71
7 15 86
15 7 21
7 16 86
16 7 5
7 17 28
17 7 59
7 18 74
18 7 19
7 19 22
19 7 93
7 20 34
20 7 49
7 21 55
21 7 47
7 23 2
23 7 8
7 24 24
24 7 55
7 25 50
25 7 60
7 26 84
26 7 82
7 28 22
28 7 76
7 29 30
29 7 55
8 10 8
10 8 96
8 11 86
11 8 24
8 13 46
13 8 16
8 14 59
14 8 77
8 15 38
15 8 33
8 16 42
16 8 62
8 17 87
17 8 97
8 18 7
18 8 72
8 19 26
19 8 51
8 20 10
20 8 75
8 21 55
21 8 0
8 22 7
22 8 29
8 23 61
23 8 21
8 24 17
24 8 54
8 26 67
26 8 31
8 27 84
27 8 18
8 28 78
28 8 82
8 29 60
29 8 67
9 10 34
10 9 19
9 11 83
11 9 36
9 12 11
12 9 32
9 13 59
13 9 44
9 14 67
14 9 2
9 15 84
15 9 39
9 16 32
16 9 85
9 17 5
17 9 95
9 18 26
18 9 39
9 21 80
21 9 64
9 22 61
22 9 25
9 24 9
24 9 36
9 25 54
25 9 37
9 27 83
27 9 78
9 28 8
28 9 17
9 29 99
29 9 20
10 11 32
11 10 46
10 12 67
12 10 55
10 13 37
13 10 70
10 14 20
14 10 51
10 15 71
15 10 41
10 17 77
17 10 4
10 18 53
18 10 52
10 19 29
19 10 93
10 20 93
20 10 1
10 23 57
23 10 48
10 24 96
24 10 30
10 25 53
25 10 9
10 26 81
26 10 66
10 27 77
27 10 30
10 28 71
28 10 3
10 29 54
29 10 93
11 13 38
13 11 30
11 14 13
14 11 3
11 15 100
15 11 41
11 16 10
16 11 67
11 18 11
18 11 52
11 19 2
19 11 23
11 20 48
20 11 80
11 21 41
21 11 24
11 22 25
22 11 96
11 23 96
23 11 7
11 24 42
24 11 44
11 25 49
25 11 5
11 26 29
26 11 76
11 27 22
27 11 67
11 28 31
28 11 9
11 29 26
29 11 15
12 13 58
13 12 19
12 14 56
14 12 19
12 15 49
15 12 70
12 16 48
16 12 62
12 17 86
17 12 72
12 18 35
18 12 75
12 19 40
19 12 66
12 20 90
20 12 85
12 21 80
21 12 84
12 22 18
22 12 44
12 23 2
23 12 49
12 25 61
25 12 61
12 27 36
27 12 70
12 28 68
28 12 31
12 29 35
29 12 73
13 14 71
14 13 63
13 16 25
16 13 10
13 17 59
17 13 48
13 18 68
18 13 65
13 19 47
19 13 70
13 20 8
20 13 16
13 21 47
21 13 29
13 22 100
22 13 34
13 23 39
23 13 65
13 24 40
24 13 74
13 26 65
26 13 56
13 27 24
27 13 10
13 28 18
28 13 91
13 29 69
29 13 10
14 15 30
15 14 46
14 16 70
16 14 72
14 17 79
17 14 84
14 18 43
18 14 48
14 19 28
19 14 36
14 20 22
20 14 49
14 21 85
21 14 74
14 24 67
24 14 45
14 26 72
26 14 62
14 28 90
28 14 22
14 29 83
29 14 64
15 16 14
16 15 97
15 17 46
17 15 31
15 20 39
20 15 64
15 22 61
22 15 97
15 23 20
23 15 34
15 24 81
24 15 86
15 25 68
25 15 19
15 26 17
26 15 92
15 28 53
28 15 48
15 29 87
29 15 79
16 17 86
17 16 26
16 18 83
18 16 20
16 19 81
19 16 92
16 20 89
20 16 91
16 21 26
21 16 17
16 22 58
22 16 71
16 23 18
23 16 2
16 24 82
24 16 45
16 25 46
25 16 99
16 26 51
26 16 81
16 27 68
27 16 56
16 28 17
28 16 27
