50
57
2336
48 49
47 49
46 48
45 46
45 47
44 45
43 44
42 43
41 42
40 41
39 40
38 39
37 39
36 39
35 36
35 37
34 35
33 34
33 38
32 33
31 32
30 31
29 30
28 29
27 29
26 28
25 26
25 27
24 25
23 24
22 23
21 22
20 21
19 20
18 20
17 18
17 19
16 18
15 16
15 17
14 15
13 14
12 15
11 12
11 13
10 11
9 11
8 9
7 8
6 7
6 10
5 6
4 5
3 4
2 3
1 2
0 1
0 2 44
2 0 5
0 3 67
3 0 40
0 4 88
4 0 21
0 5 11
5 0 8
0 6 80
6 0 22
0 7 73
7 0 67
0 8 96
8 0 76
0 9 6
9 0 43
0 10 44
10 0 71
0 11 59
11 0 66
0 12 33
12 0 100
0 13 85
13 0 29
0 14 20
14 0 39
0 15 90
15 0 63
0 16 10
16 0 55
0 17 51
17 0 3
0 18 51
18 0 12
0 19 36
19 0 86
0 20 33
20 0 35
0 21 14
21 0 61
0 22 56
22 0 98
0 23 29
23 0 21
0 24 100
24 0 74
0 25 14
25 0 23
0 26 38
26 0 49
0 27 4
27 0 1
0 28 10
28 0 54
0 29 46
29 0 16
0 30 33
30 0 52
0 31 29
31 0 18
0 32 79
32 0 18
0 33 74
33 0 55
0 34 19
34 0 15
0 35 26
35 0 78
0 36 5
36 0 16
0 37 73
37 0 59
0 38 30
38 0 16
0 39 45
39 0 94
0 40 10
40 0 20
0 41 73
41 0 5
0 42 85
42 0 2
0 43 89
43 0 95
0 44 43
44 0 100
0 45 50
45 0 58
0 46 35
46 0 97
0 47 69
47 0 73
0 48 55
48 0 94
0 49 17
49 0 10
1 3 71
3 1 32
1 4 19
4 1 73
1 5 24
5 1 90
1 6 26
6 1 3
1 7 74
7 1 55
1 8 14
8 1 97
1 9 90
9 1 1
1 10 37
10 1 69
1 11 71
11 1 96
1 12 67
12 1 69
1 13 83
13 1 36
1 14 15
14 1 41
1 15 96
15 1 64
1 16 26
16 1 36
1 17 37
17 1 13
1 18 91
18 1 80
1 19 45
19 1 35
1 20 13
20 1 13
1 21 71
21 1 70
1 22 84
22 1 69
1 23 80
23 1 4
1 24 91
24 1 82
1 25 40
25 1 96
1 26 23
26 1 92
1 27 99
27 1 32
1 28 97
28 1 16
1 29 63
29 1 43
1 30 2
30 1 30
1 31 61
31 1 56
1 32 37
32 1 55
1 33 54
33 1 78
1 34 39
34 1 97
1 35 8
35 1 10
1 36 78
36 1 74
1 37 55
37 1 48
1 38 19
38 1 35
1 39 94
39 1 63
1 40 49
40 1 14
1 41 67
41 1 32
1 42 30
42 1 64
1 43 49
43 1 53
1 44 31
44 1 98
1 45 51
45 1 29
1 46 46
46 1 1
1 47 70
47 1 2
1 48 61
48 1 81
1 49 0
49 1 41
2 4 68
4 2 52
2 5 44
5 2 54
2 6 24
6 2 40
2 7 36
7 2 57
2 8 98
8 2 90
2 9 71
9 2 67
2 10 17
10 2 54
2 11 4
11 2 0
2 12 45
12 2 57
2 13 51
13 2 70
2 14 71
14 2 53
2 15 66
15 2 84
2 16 46
16 2 56
2 17 88
17 2 11
2 18 42
18 2 17
2 19 72
19 2 75
2 20 72
20 2 14
2 21 95
21 2 2
2 22 49
22 2 95
2 23 17
23 2 75
2 24 59
24 2 65
2 25 14
25 2 81
2 26 68
26 2 42
2 27 25
27 2 59
2 28 63
28 2 61
2 29 79
29 2 12
2 30 87
30 2 44
2 31 73
31 2 74
2 32 33
32 2 58
2 33 16
33 2 18
2 34 88
34 2 37
2 35 60
35 2 12
2 36 74
36 2 9
2 37 69
37 2 21
2 38 84
38 2 6
2 39 27
39 2 40
2 40 38
40 2 80
2 41 78
41 2 89
2 42 94
42 2 51
2 43 88
43 2 23
2 44 100
44 2 90
2 45 21
45 2 86
2 46 21
46 2 2
2 47 84
47 2 39
2 48 13
48 2 72
2 49 44
49 2 31
3 5 20
5 3 4
3 6 58
6 3 32
3 7 84
7 3 47
3 8 17
8 3 93
3 9 16
9 3 30
3 10 93
10 3 13
3 11 7
11 3 60
3 12 60
12 3 13
3 13 66
13 3 70
3 14 7
14 3 2
3 15 15
15 3 97
3 16 20
16 3 19
3 17 51
17 3 35
3 18 3
18 3 70
3 19 96
19 3 5
3 20 23
20 3 55
3 21 69
21 3 80
3 22 55
22 3 35
3 23 24
23 3 12
3 24 53
24 3 15
3 25 94
25 3 41
3 26 63
26 3 22
3 27 54
27 3 88
3 28 11
28 3 36
3 29 16
29 3 66
3 30 35
30 3 71
3 31 21
31 3 4
3 32 38
32 3 69
3 33 86
33 3 39
3 34 80
34 3 79
3 35 73
35 3 2
3 36 6
36 3 86
3 37 75
37 3 30
3 38 36
38 3 31
3 39 64
39 3 10
3 40 11
40 3 65
3 41 55
41 3 31
3 42 62
42 3 67
3 43 43
43 3 15
3 44 60
44 3 66
3 45 30
45 3 77
3 46 11
46 3 30
3 47 13
47 3 5
3 48 43
48 3 42
3 49 66
49 3 96
4 6 54
6 4 59
4 7 38
7 4 31
4 8 65
8 4 81
4 9 4
9 4 62
4 10 82
10 4 76
4 11 66
11 4 31
4 12 97
12 4 0
4 13 60
13 4 46
4 14 24
14 4 37
4 15 15
15 4 84
4 16 35
16 4 45
4 17 41
17 4 75
4 18 16
18 4 25
4 19 46
19 4 79
4 20 9
20 4 76
4 21 76
21 4 58
4 22 60
22 4 86
4 23 92
23 4 38
4 24 72
24 4 60
4 25 68
25 4 4
4 26 45
26 4 93
4 27 39
27 4 25
4 28 80
28 4 69
4 29 1
29 4 46
4 30 15
30 4 82
4 31 9
31 4 32
4 32 18
32 4 13
4 33 65
33 4 91
4 34 25
34 4 98
4 35 18
35 4 76
4 36 75
36 4 49
4 37 60
37 4 38
4 38 28
38 4 12
4 39 53
39 4 38
4 40 7
40 4 18
4 41 2
41 4 41
4 42 96
42 4 75
4 43 40
43 4 14
4 44 35
44 4 34
4 45 44
45 4 10
4 46 61
46 4 37
4 47 20
47 4 71
4 48 94
48 4 14
4 49 87
49 4 82
5 7 49
7 5 5
5 8 88
8 5 66
5 9 16
9 5 57
5 10 38
10 5 65
5 11 54
11 5 72
5 12 66
12 5 93
5 13 20
13 5 78
5 14 11
14 5 42
5 15 95
15 5 71
5 16 20
16 5 35
5 17 78
17 5 78
5 18 31
18 5 59
5 19 22
19 5 58
5 20 87
20 5 53
5 21 59
21 5 69
5 22 7
22 5 28
5 23 7
23 5 11
5 24 62
24 5 14
5 25 49
25 5 78
5 26 87
26 5 19
5 27 67
27 5 90
5 28 28
28 5 46
5 29 74
29 5 64
5 30 17
30 5 49
5 31 81
31 5 1
5 32 66
32 5 27
5 33 66
33 5 68
5 34 6
34 5 19
5 35 85
35 5 70
5 36 87
36 5 83
5 37 82
37 5 3
5 38 2
38 5 48
5 39 37
39 5 57
5 40 74
40 5 70
5 41 6
41 5 64
5 42 3
42 5 4
5 43 10
43 5 26
5 44 8
44 5 71
5 45 69
45 5 56
5 46 69
46 5 47
5 47 50
47 5 83
5 48 27
48 5 52
5 49 93
49 5 100
6 8 93
8 6 94
6 9 50
9 6 46
6 11 20
11 6 42
6 12 48
12 6 61
6 13 40
13 6 47
6 14 55
14 6 2
6 15 56
15 6 72
6 16 4
16 6 22
6 17 76
17 6 7
6 18 86
18 6 57
6 19 92
19 6 86
6 20 29
20 6 73
6 21 36
21 6 62
6 22 96
22 6 59
6 23 89
23 6 57
6 24 58
24 6 35
6 25 55
25 6 76
6 26 92
26 6 96
6 27 95
27 6 4
6 28 21
28 6 30
6 29 0
29 6 2
6 30 75
30 6 10
6 31 90
31 6 67
6 32 70
32 6 86
6 33 96
33 6 82
6 34 78
34 6 31
6 35 90
35 6 76
6 36 19
36 6 60
6 37 44
37 6 78
6 38 23
38 6 79
6 39 22
39 6 31
6 40 70
40 6 15
6 41 93
41 6 8
6 42 85
42 6 59
6 43 67
43 6 59
6 44 23
44 6 12
6 45 17
45 6 9
6 46 98
46 6 38
6 47 37
47 6 83
6 48 10
48 6 63
6 49 62
49 6 35
7 9 80
9 7 74
7 10 100
10 7 52
7 11 58
11 7 40
7 12 64
12 7 23
7 13 3
13 7 88
7 14 68
14 7 74
7 15 82
15 7 55
7 16 51
16 7 58
7 17 36
17 7 18
7 18 79
18 7 90
7 19 51
19 7 34
7 20 10
20 7 41
7 21 7
21 7 19
7 22 98
22 7 79
7 23 20
23 7 84
7 24 2
24 7 56
7 25 79
25 7 51
7 26 22
26 7 46
7 27 39
27 7 24
7 28 32
28 7 52
7 29 42
29 7 41
7 30 8
30 7 85
7 31 22
31 7 64
7 32 80
32 7 48
7 33 63
33 7 18
7 34 80
34 7 45
7 35 45
35 7 21
7 36 59
36 7 56
7 37 56
37 7 40
7 38 89
38 7 53
7 39 55
39 7 74
7 40 18
40 7 56
7 41 77
41 7 11
7 42 68
42 7 11
7 43 95
43 7 6
7 44 73
44 7 62
7 45 95
45 7 59
7 46 97
46 7 1
7 47 63
47 7 82
7 48 54
48 7 26
7 49 78
49 7 93
8 10 5
10 8 34
8 11 43
11 8 38
8 12 54
12 8 42
8 13 48
13 8 67
8 14 7
14 8 55
8 15 56
15 8 65
8 16 81
16 8 17
8 17 52
17 8 100
8 18 93
18 8 33
8 19 55
19 8 25
8 20 97
20 8 24
8 21 31
21 8 1
8 22 7
22 8 6
8 23 69
23 8 33
8 24 39
24 8 64
8 25 94
25 8 5
8 26 27
26 8 95
8 27 94
27 8 94
8 28 61
28 8 27
8 29 71
29 8 63
8 30 83
30 8 70
8 31 26
31 8 18
8 32 64
32 8 13
8 33 72
33 8 58
8 34 94
34 8 86
8 35 60
35 8 6
8 36 4
36 8 60
8 37 53
37 8 93
8 38 62
38 8 95
8 39 91
39 8 73
8 40 96
40 8 75
8 41 15
41 8 76
8 42 86
42 8 50
8 43 74
43 8 19
8 44 65
44 8 5
8 45 96
45 8 17
8 46 90
46 8 89
8 47 67
47 8 19
8 48 77
48 8 17
8 49 3
49 8 42
9 10 46
10 9 26
9 12 59
12 9 11
9 13 55
13 9 34
9 14 68
14 9 66
9 15 84
15 9 45
9 16 84
16 9 84
9 17 95
17 9 58
9 18 90
18 9 94
9 19 46
19 9 83
9 20 86
20 9 22
9 21 47
21 9 65
9 22 35
22 9 31
9 23 29
23 9 59
9 24 87
24 9 8
9 25 22
25 9 16
9 26 58
26 9 90
9 27 77
27 9 10
9 28 11
28 9 54
9 29 44
29 9 56
9 30 60
30 9 40
9 31 56
31 9 83
9 32 80
32 9 15
9 33 82
33 9 83
9 34 89
34 9 26
9 35 63
35 9 28
9 36 94
36 9 36
9 37 52
37 9 35
9 38 52
38 9 93
9 39 1
39 9 61
9 40 32
40 9 8
9 41 12
41 9 88
9 42 84
42 9 75
9 43 48
43 9 80
9 44 98
44 9 58
9 45 11
45 9 43
9 46 6
46 9 3
9 47 42
47 9 10
9 48 84
48 9 50
9 49 2
49 9 26
10 12 14
12 10 67
10 13 60
13 10 71
10 14 68
14 10 25
10 15 53
15 10 83
10 16 15
16 10 39
10 17 64
17 10 27
10 18 36
18 10 55
10 19 31
19 10 91
10 20 75
20 10 97
10 21 67
21 10 32
10 22 61
22 10 79
10 23 4
23 10 100
10 24 83
24 10 42
10 25 25
25 10 56
10 26 66
26 10 17
10 27 51
27 10 38
10 28 61
28 10 27
10 29 25
29 10 83
10 30 4
30 10 66
10 31 53
31 10 9
10 32 42
32 10 93
10 33 12
33 10 71
10 34 17
34 10 26
10 35 65
35 10 85
10 36 48
36 10 11
10 37 4
37 10 97
10 38 14
38 10 11
10 39 44
39 10 11
10 40 48
40 10 80
10 41 42
41 10 47
10 42 56
42 10 73
10 43 54
43 10 12
10 44 99
44 10 33
10 45 21
45 10 62
10 46 36
46 10 33
10 47 93
47 10 52
10 48 71
48 10 78
10 49 70
49 10 55
11 14 78
14 11 3
11 15 37
15 11 80
11 16 66
16 11 6
11 17 27
17 11 74
11 18 46
18 11 18
11 19 37
19 11 65
11 20 71
20 11 47
11 21 51
21 11 30
11 22 48
22 11 42
11 23 54
23 11 67
11 24 84
