10
9
70
0 4
0 8
0 9
1 4
2 6
5 8
6 8
7 8
7 9
0 1 64
1 0 41
0 2 11
2 0 53
0 3 68
3 0 47
0 5 44
5 0 62
0 6 57
6 0 37
0 7 59
7 0 23
1 2 41
2 1 29
1 3 78
3 1 16
1 5 35
5 1 90
1 6 42
6 1 88
1 7 6
7 1 40
1 8 42
8 1 64
1 9 48
9 1 46
2 3 5
3 2 90
2 4 29
4 2 70
2 5 50
5 2 6
2 7 1
7 2 93
2 9 48
9 2 29
3 4 23
4 3 84
3 5 54
5 3 56
3 6 40
6 3 66
3 7 76
7 3 31
3 8 8
8 3 44
3 9 39
9 3 26
4 5 23
5 4 37
4 6 38
6 4 18
4 7 82
7 4 29
4 8 41
8 4 33
4 9 15
9 4 39
5 6 58
6 5 4
5 7 30
7 5 77
5 9 6
9 5 73
6 7 86
7 6 21
6 9 45
9 6 24
8 9 72
9 8 70

