15
42
78
0 4
0 8
0 9
0 10
0 12
0 13
1 8
2 4
2 5
2 7
2 11
2 12
2 13
3 5
3 6
3 7
3 8
3 13
4 5
4 6
4 7
4 8
4 9
4 13
5 8
5 11
6 7
6 8
6 9
6 12
7 8
7 9
7 13
7 14
8 14
9 11
9 12
10 11
10 14
11 14
12 14
13 14
0 1 30
1 0 27
0 2 56
2 0 173
0 3 111
3 0 71
1 2 170
2 1 149
1 3 172
3 1 195
1 4 204
4 1 2
1 5 48
5 1 147
1 6 87
6 1 136
1 7 15
7 1 161
1 9 186
9 1 80
1 10 17
10 1 30
1 11 49
11 1 206
1 12 127
12 1 125
1 13 25
13 1 66
2 3 124
3 2 16
2 10 55
10 2 57
3 4 41
4 3 7
3 10 87
10 3 157
4 10 137
10 4 78
5 6 33
6 5 95
5 7 134
7 5 34
5 9 83
9 5 146
5 10 138
10 5 122
5 12 196
12 5 56
5 13 205
13 5 213
6 10 143
10 6 0
7 10 191
10 7 87
8 9 80
9 8 85
8 10 59
10 8 174
8 11 62
11 8 173
8 12 183
12 8 145
8 13 216
13 8 2
9 10 50
10 9 166
9 13 11
13 9 149
10 12 220
12 10 96
10 13 171
13 10 123
11 12 24
12 11 93
11 13 184
13 11 181
12 13 9
13 12 53

