15
40
50
0 6
0 8
0 9
0 12
1 2
1 4
1 7
1 8
1 12
1 14
2 5
2 7
2 9
2 12
2 13
2 14
3 4
3 5
3 6
3 8
3 9
3 11
3 12
4 5
4 6
4 14
5 6
5 10
6 8
7 11
7 12
8 9
8 10
8 12
8 14
9 11
9 14
10 13
11 12
11 13
0 1 79
1 0 106
0 2 183
2 0 7
0 3 9
3 0 91
0 4 92
4 0 6
0 5 83
5 0 122
0 7 160
7 0 105
1 3 55
3 1 92
2 3 106
3 2 92
2 4 89
4 2 7
3 7 119
7 3 206
4 7 6
7 4 132
5 7 148
7 5 92
6 7 43
7 6 74
7 8 91
8 7 37
7 9 70
9 7 204
7 10 198
10 7 113
7 14 91
14 7 166
9 10 223
10 9 46
10 11 44
11 10 43
10 12 150
12 10 76
10 14 144
14 10 153
11 14 149
14 11 202
12 13 181
13 12 165
12 14 164
14 12 50
13 14 133
14 13 195

