15
21
142
0 4
0 8
0 9
0 12
1 8
2 13
3 5
3 7
3 8
3 13
4 6
4 7
4 8
4 13
5 11
6 8
7 8
8 14
9 11
11 14
12 14
0 1 30
1 0 27
0 2 56
2 0 173
0 3 111
3 0 71
0 5 170
5 0 149
0 10 172
10 0 195
1 2 204
2 1 2
1 3 48
3 1 147
1 4 87
4 1 136
1 5 15
5 1 161
1 6 186
6 1 80
1 7 17
7 1 30
1 9 49
9 1 206
1 10 127
10 1 125
1 11 25
11 1 66
1 12 124
12 1 16
1 13 55
13 1 57
2 3 41
3 2 7
2 4 87
4 2 157
2 5 137
5 2 78
2 6 33
6 2 95
2 7 134
7 2 34
2 8 83
8 2 146
2 9 138
9 2 122
2 10 196
10 2 56
2 11 205
11 2 213
2 12 143
12 2 0
2 14 191
14 2 87
3 4 80
4 3 85
3 6 59
6 3 174
3 9 62
9 3 173
3 10 183
10 3 145
3 12 216
12 3 2
4 5 50
5 4 166
4 9 11
9 4 149
4 10 220
10 4 96
4 11 171
11 4 123
4 12 24
12 4 93
5 6 184
6 5 181
5 7 9
7 5 53
5 8 199
8 5 93
5 9 38
9 5 150
5 10 188
10 5 127
5 12 17
12 5 128
5 13 43
13 5 123
6 7 208
7 6 32
6 9 171
9 6 135
6 10 92
10 6 88
6 11 64
11 6 134
6 12 191
12 6 35
6 13 126
13 6 125
7 9 74
9 7 94
7 10 56
10 7 73
7 11 153
11 7 149
7 12 208
12 7 219
7 13 209
13 7 139
8 9 77
9 8 45
8 10 10
10 8 168
8 11 168
11 8 148
8 12 12
12 8 64
8 13 53
13 8 23
9 10 0
10 9 183
9 12 93
12 9 105
9 13 221
13 9 173
10 11 206
11 10 14
10 12 98
12 10 109
10 13 157
13 10 222
10 14 222
14 10 88
11 12 142
12 11 188
11 13 104
13 11 190
12 13 182
13 12 83
13 14 116
14 13 15

