15
22
152
0 2
0 5
0 8
0 12
1 2
1 4
1 5
1 7
1 9
2 4
2 8
2 12
3 5
3 14
5 12
6 10
6 11
6 14
10 11
10 12
10 13
13 14
0 1 126
1 0 179
0 3 7
3 0 131
0 6 172
6 0 81
0 7 59
7 0 190
0 9 127
9 0 46
0 10 29
10 0 53
0 11 52
11 0 79
0 13 56
13 0 73
0 14 52
14 0 125
1 3 40
3 1 102
1 6 12
6 1 81
1 10 58
10 1 149
1 11 44
11 1 140
1 13 58
13 1 92
1 14 138
14 1 181
2 3 127
3 2 197
2 5 219
5 2 127
2 6 155
6 2 214
2 7 203
7 2 173
2 9 163
9 2 14
2 10 180
10 2 134
2 11 4
11 2 102
2 13 47
13 2 72
2 14 221
14 2 206
3 4 128
4 3 91
3 6 0
6 3 127
3 7 220
7 3 12
3 8 196
8 3 149
3 9 185
9 3 219
3 10 4
10 3 109
3 11 161
11 3 101
3 13 3
13 3 118
4 5 205
5 4 153
4 6 42
6 4 105
4 7 14
7 4 56
4 8 155
8 4 16
4 9 168
9 4 196
4 10 203
10 4 58
4 11 92
11 4 119
4 12 175
12 4 82
4 13 67
13 4 151
4 14 63
14 4 203
5 6 100
6 5 111
5 7 60
7 5 20
5 8 187
8 5 114
5 9 163
9 5 131
5 10 184
10 5 62
5 11 115
11 5 183
5 13 124
13 5 169
5 14 142
14 5 90
6 7 148
7 6 141
6 8 36
8 6 41
6 9 156
9 6 174
7 8 219
8 7 156
7 9 184
9 7 113
7 10 84
10 7 197
7 11 89
11 7 164
7 12 215
12 7 156
7 13 180
13 7 170
7 14 34
14 7 139
8 9 29
9 8 202
8 10 49
10 8 60
8 11 213
11 8 118
8 12 30
12 8 49
8 13 173
13 8 142
8 14 178
14 8 69
9 10 57
10 9 220
9 11 38
11 9 60
9 12 181
12 9 165
9 13 158
13 9 123
9 14 52
14 9 41
11 12 58
12 11 85
11 13 208
13 11 141
11 14 18
14 11 61
12 13 105
13 12 180
12 14 95
14 12 47

