15
18
168
0 9
0 12
1 12
1 14
2 5
2 7
2 9
2 12
3 4
3 5
3 12
4 5
4 14
7 12
8 10
8 12
9 14
11 13
0 1 79
1 0 106
0 2 183
2 0 7
0 3 9
3 0 91
0 4 92
4 0 6
0 5 83
5 0 122
0 6 160
6 0 105
0 7 55
7 0 92
0 8 106
8 0 92
0 10 89
10 0 7
0 11 119
11 0 206
0 13 6
13 0 132
1 2 148
2 1 92
1 3 43
3 1 74
1 4 91
4 1 37
1 5 70
5 1 204
1 6 198
6 1 113
1 7 91
7 1 166
1 8 223
8 1 46
1 9 44
9 1 43
1 10 150
10 1 76
1 11 144
11 1 153
1 13 149
13 1 202
2 3 181
3 2 165
2 4 164
4 2 50
2 6 133
6 2 195
2 8 0
8 2 111
2 10 24
10 2 20
2 11 86
11 2 70
2 13 87
13 2 39
3 6 171
6 3 188
3 7 221
7 3 199
3 8 96
8 3 10
3 9 54
9 3 221
3 10 73
10 3 142
3 11 34
11 3 15
3 13 139
13 3 133
4 6 87
6 4 217
4 7 79
7 4 160
4 8 33
8 4 42
4 9 8
9 4 71
4 10 96
10 4 10
4 11 163
11 4 197
4 12 40
12 4 93
4 13 220
13 4 59
5 6 167
6 5 115
5 7 156
7 5 128
5 8 51
8 5 35
5 9 84
9 5 89
5 10 138
10 5 78
5 11 158
11 5 54
5 12 223
12 5 189
5 13 16
13 5 9
5 14 77
14 5 56
6 7 147
7 6 93
6 8 78
8 6 87
6 9 9
9 6 42
6 10 25
10 6 16
6 11 36
11 6 165
6 12 123
12 6 51
6 13 157
13 6 30
6 14 59
14 6 221
7 8 4
8 7 97
7 9 206
9 7 64
7 10 221
10 7 85
7 11 24
11 7 176
7 13 198
13 7 140
7 14 36
14 7 127
8 9 77
9 8 157
8 11 177
11 8 141
8 13 134
13 8 80
8 14 213
14 8 66
9 10 35
10 9 139
9 11 11
11 9 198
9 12 102
12 9 7
9 13 180
13 9 140
10 11 44
11 10 201
10 12 115
12 10 134
10 13 33
13 10 136
10 14 121
14 10 102
11 12 124
12 11 168
11 14 211
14 11 169
12 13 150
13 12 213
12 14 190
14 12 189
13 14 37
14 13 156

