20
73
96
0 2
0 3
0 5
0 8
0 12
0 15
0 17
0 18
1 2
1 4
1 8
1 11
1 15
1 19
2 4
2 6
2 11
2 15
2 17
2 18
3 8
3 11
3 16
3 17
3 19
4 7
4 8
4 11
4 13
4 14
4 15
4 16
5 9
5 16
5 17
5 18
6 7
6 12
6 13
6 17
7 11
7 12
7 14
7 15
7 16
7 17
8 9
8 10
8 11
8 12
8 14
8 19
9 11
9 17
9 18
10 15
10 19
11 15
11 16
11 18
12 13
12 16
12 18
13 15
13 16
13 17
14 17
14 19
15 17
15 19
16 17
16 19
18 19
0 1 11
1 0 35
1 3 245
3 1 287
1 5 339
5 1 363
2 3 6
3 2 234
2 5 162
5 2 290
3 4 58
4 3 249
3 5 394
5 3 142
3 6 315
6 3 248
3 7 116
7 3 211
4 5 141
5 4 381
4 6 149
6 4 119
5 6 81
6 5 309
5 7 238
7 5 259
5 8 247
8 5 289
5 10 339
10 5 365
5 12 131
12 5 130
5 13 270
13 5 84
5 14 164
14 5 304
6 8 52
8 6 299
6 9 385
9 6 113
6 10 168
10 6 330
7 8 324
8 7 248
7 9 367
9 7 353
7 10 44
10 7 332
9 10 20
10 9 238
9 12 285
12 9 331
9 13 365
13 9 33
9 14 123
14 9 127
10 11 366
11 10 158
10 12 135
12 10 208
10 13 316
13 10 243
10 14 136
14 10 105
10 16 180
16 10 395
10 18 222
18 10 63
11 12 29
12 11 274
11 13 340
13 11 31
11 14 348
14 11 186
12 14 196
14 12 167
13 14 55
14 13 13
13 18 351
18 13 57
14 15 107
15 14 244
14 16 221
16 14 252
14 18 225
18 14 327
15 16 353
16 15 99
15 18 15
18 15 278
16 18 240
18 16 81
17 18 59
18 17 167
17 19 132
19 17 93

