20
70
96
0 6
0 8
0 9
0 12
0 15
0 17
1 2
1 3
1 7
1 9
1 12
1 14
1 16
1 19
2 3
2 4
2 5
2 6
2 7
2 9
2 10
2 12
2 13
2 16
2 17
3 9
3 10
3 14
4 5
4 15
4 16
4 19
5 6
5 8
5 10
5 12
5 15
5 18
6 7
6 8
6 15
6 16
6 17
6 19
7 12
7 17
7 18
8 15
8 17
9 11
9 17
9 19
10 11
10 13
10 14
10 15
10 16
10 18
11 13
11 19
12 13
12 15
12 17
13 16
13 17
14 17
16 17
17 18
17 19
18 19
0 1 293
1 0 345
0 2 209
2 0 92
0 3 40
3 0 306
0 4 103
4 0 251
0 5 310
5 0 234
0 10 239
10 0 113
0 14 253
14 0 33
3 4 29
4 3 48
3 5 114
5 3 66
3 6 284
6 3 27
3 7 106
7 3 397
3 8 318
8 3 378
3 12 287
12 3 184
4 9 67
9 4 125
5 9 16
9 5 386
6 9 140
9 6 273
6 10 26
10 6 232
6 11 80
11 6 209
6 14 246
14 6 379
7 8 222
8 7 31
7 9 339
9 7 146
7 10 260
10 7 99
7 11 326
11 7 348
7 14 15
14 7 211
8 9 302
9 8 152
8 10 132
10 8 52
8 11 141
11 8 9
8 12 255
12 8 63
8 13 116
13 8 260
8 14 314
14 8 136
8 16 398
16 8 252
9 10 32
10 9 155
9 12 65
12 9 144
9 14 51
14 9 40
9 15 384
15 9 83
10 12 11
12 10 321
11 12 52
12 11 124
11 14 143
14 11 336
11 15 219
15 11 175
12 14 313
14 12 15
13 14 289
14 13 12
13 15 181
15 13 114
14 15 207
15 14 342
14 16 106
16 14 88
15 16 258
16 15 87
15 17 252
17 15 242
15 18 350
18 15 178
15 19 209
19 15 130

