20
39
202
0 4
0 8
0 9
0 12
1 3
2 3
2 6
2 8
2 9
2 14
2 17
2 18
2 19
3 8
3 15
4 5
4 12
5 10
5 12
6 9
6 11
6 16
6 19
7 8
7 12
8 15
9 11
9 12
9 17
10 12
10 18
11 13
11 15
12 13
12 17
13 16
14 16
16 17
16 18
0 1 128
1 0 93
0 2 248
2 0 83
0 3 207
3 0 21
0 6 310
6 0 217
0 7 13
7 0 314
0 14 309
14 0 16
0 19 135
19 0 251
1 2 200
2 1 49
1 4 119
4 1 356
1 5 398
5 1 303
1 6 224
6 1 208
1 7 244
7 1 209
1 9 189
9 1 302
1 10 395
10 1 85
1 11 293
11 1 343
1 12 123
12 1 387
1 13 114
13 1 303
1 14 248
14 1 0
1 16 258
16 1 218
1 17 180
17 1 196
1 18 398
18 1 81
1 19 389
19 1 398
2 4 9
4 2 357
2 5 72
5 2 22
2 7 138
7 2 292
2 10 38
10 2 179
3 4 190
4 3 57
3 5 358
5 3 191
3 6 215
6 3 88
3 7 356
7 3 311
3 9 202
9 3 234
3 10 272
10 3 55
3 11 328
11 3 246
3 12 362
12 3 86
3 13 75
13 3 33
3 14 269
14 3 142
3 16 244
16 3 216
3 17 281
17 3 398
3 18 322
18 3 251
3 19 21
19 3 99
4 6 357
6 4 76
4 7 292
7 4 389
4 8 275
8 4 312
4 9 200
9 4 110
4 11 203
11 4 69
4 14 261
14 4 288
4 15 201
15 4 189
4 19 55
19 4 23
5 6 202
6 5 185
5 7 182
7 5 285
5 8 288
8 5 226
5 9 217
9 5 157
5 11 232
11 5 132
5 14 169
14 5 154
5 15 121
15 5 389
5 19 376
19 5 129
6 7 368
7 6 292
6 8 225
8 6 155
6 10 234
10 6 149
6 14 241
14 6 312
7 9 145
9 7 60
7 10 118
10 7 153
7 11 139
11 7 23
7 14 279
14 7 396
7 19 287
19 7 129
8 9 149
9 8 237
8 10 266
10 8 149
8 11 193
11 8 395
8 12 97
12 8 16
8 13 286
13 8 105
8 14 88
14 8 282
8 16 55
16 8 134
8 17 114
17 8 101
8 18 116
18 8 271
8 19 186
19 8 263
9 10 313
10 9 355
9 14 385
14 9 53
9 19 112
19 9 8
10 11 232
11 10 145
10 14 313
14 10 156
10 15 321
15 10 358
10 19 46
19 10 382
11 12 81
12 11 144
11 14 396
14 11 222
11 19 329
19 11 161
12 14 335
14 12 50
12 15 373
15 12 66
12 19 44
19 12 59
13 14 292
14 13 39
13 15 53
15 13 24
13 19 154
19 13 310
14 15 345
15 14 249
14 19 386
19 14 313
15 16 74
16 15 22
15 17 168
17 15 18
15 18 387
18 15 305
15 19 358
19 15 191
16 19 202
19 16 25
17 18 77
18 17 14
17 19 114
19 17 224
18 19 134
19 18 274

