20
38
220
0 2
0 5
0 8
0 12
0 15
0 17
0 18
1 2
1 4
1 11
1 15
1 19
2 6
2 15
3 16
4 7
4 8
4 11
5 16
5 17
5 18
6 12
6 13
7 12
7 14
7 15
7 16
8 9
8 12
8 19
11 16
11 18
12 13
13 16
13 17
14 19
16 17
18 19
0 1 11
1 0 35
0 3 245
3 0 287
0 4 339
4 0 363
0 7 6
7 0 234
0 10 162
10 0 290
0 11 58
11 0 249
0 14 394
14 0 142
1 3 315
3 1 248
1 5 116
5 1 211
1 10 141
10 1 381
2 3 149
3 2 119
2 4 81
4 2 309
2 5 238
5 2 259
2 7 247
7 2 289
2 8 339
8 2 365
2 9 131
9 2 130
2 10 270
10 2 84
2 11 164
11 2 304
2 14 52
14 2 299
2 18 385
18 2 113
2 19 168
19 2 330
3 4 324
4 3 248
3 5 367
5 3 353
3 6 44
6 3 332
3 7 20
7 3 238
3 8 285
8 3 331
3 9 365
9 3 33
3 10 123
10 3 127
3 11 366
11 3 158
3 12 135
12 3 208
3 13 316
13 3 243
3 14 136
14 3 105
3 15 180
15 3 395
3 18 222
18 3 63
3 19 29
19 3 274
4 5 340
5 4 31
4 6 348
6 4 186
4 10 196
10 4 167
5 6 55
6 5 13
5 7 351
7 5 57
5 8 107
8 5 244
5 9 221
9 5 252
5 10 225
10 5 327
5 11 353
11 5 99
5 12 15
12 5 278
5 13 240
13 5 81
5 14 59
14 5 167
5 15 132
15 5 93
6 7 214
7 6 273
6 8 61
8 6 67
6 9 150
9 6 41
6 10 343
10 6 363
6 11 228
11 6 171
6 14 129
14 6 286
6 15 168
15 6 75
6 18 173
18 6 38
6 19 49
19 6 332
7 8 180
8 7 325
7 9 202
9 7 145
7 10 396
10 7 9
7 11 393
11 7 82
7 18 268
18 7 158
8 10 153
10 8 97
8 11 126
11 8 69
8 14 42
14 8 62
8 15 342
15 8 148
8 18 280
18 8 104
9 10 275
10 9 333
9 11 234
11 9 165
9 12 244
12 9 116
9 13 203
13 9 211
9 14 253
14 9 139
9 15 318
15 9 383
9 16 58
16 9 64
9 17 46
17 9 119
9 18 83
18 9 249
9 19 276
19 9 203
10 11 80
11 10 111
10 12 268
12 10 281
10 13 399
13 10 249
10 14 106
14 10 106
10 15 324
15 10 266
10 16 393
16 10 54
10 17 288
17 10 174
10 18 356
18 10 383
10 19 277
19 10 160
11 12 105
12 11 381
11 13 8
13 11 0
11 14 218
14 11 278
11 15 72
15 11 244
12 14 262
14 12 32
12 15 255
15 12 28
12 18 72
18 12 377
12 19 295
19 12 74
13 14 190
14 13 23
13 15 270
15 13 130
13 18 205
18 13 188
13 19 317
19 13 78
14 15 386
15 14 301
14 16 341
16 14 197
14 17 188
17 14 83
14 18 395
18 14 253
15 16 201
16 15 193
15 17 198
17 15 206
15 18 286
18 15 262
15 19 230
19 15 233
16 18 203
18 16 22
16 19 391
19 16 361
17 18 221
18 17 276
17 19 23
19 17 313

