20
35
264
0 9
0 12
1 7
1 9
1 12
1 14
1 16
1 19
2 5
2 6
2 13
2 16
3 9
4 16
5 6
5 8
5 15
6 8
6 16
6 19
7 12
7 17
7 18
8 17
10 11
10 13
10 16
10 18
11 13
11 19
12 13
12 17
13 16
14 17
16 17
0 1 293
1 0 345
0 2 209
2 0 92
0 3 40
3 0 306
0 4 103
4 0 251
0 5 310
5 0 234
0 6 239
6 0 113
0 7 253
7 0 33
0 8 29
8 0 48
0 10 114
10 0 66
0 11 284
11 0 27
0 14 106
14 0 397
0 15 318
15 0 378
0 18 287
18 0 184
0 19 67
19 0 125
1 2 16
2 1 386
1 3 140
3 1 273
1 4 26
4 1 232
1 5 80
5 1 209
1 6 246
6 1 379
1 8 222
8 1 31
1 10 339
10 1 146
1 11 260
11 1 99
1 15 326
15 1 348
2 3 15
3 2 211
2 4 302
4 2 152
2 7 132
7 2 52
2 9 141
9 2 9
2 10 255
10 2 63
2 11 116
11 2 260
2 12 314
12 2 136
2 14 398
14 2 252
2 18 32
18 2 155
3 4 65
4 3 144
3 5 51
5 3 40
3 6 384
6 3 83
3 7 11
7 3 321
3 8 52
8 3 124
3 10 143
10 3 336
3 11 219
11 3 175
3 12 313
12 3 15
3 13 289
13 3 12
3 14 181
14 3 114
3 15 207
15 3 342
3 16 106
16 3 88
3 17 258
17 3 87
3 18 252
18 3 242
3 19 350
19 3 178
4 5 209
5 4 130
4 6 258
6 4 361
4 7 339
7 4 248
4 8 381
8 4 224
4 9 37
9 4 137
4 10 257
10 4 177
4 11 90
11 4 18
4 12 215
12 4 162
4 13 370
13 4 315
4 14 163
14 4 340
4 15 102
15 4 95
4 18 201
18 4 109
4 19 182
19 4 138
5 7 240
7 5 105
5 9 385
9 5 164
5 10 167
10 5 204
5 11 341
11 5 142
5 12 165
12 5 27
5 13 104
13 5 26
5 14 293
14 5 27
5 18 358
18 5 240
6 7 2
7 6 314
6 9 203
9 6 94
6 10 351
10 6 109
6 11 51
11 6 112
6 12 122
12 6 265
6 13 368
13 6 224
6 14 306
14 6 343
6 15 285
15 6 144
6 18 167
18 6 322
7 8 81
8 7 213
7 9 337
9 7 386
7 10 85
10 7 342
7 11 323
11 7 254
7 14 169
14 7 118
7 15 305
15 7 397
7 19 148
19 7 126
8 9 384
9 8 205
8 10 219
10 8 271
8 11 269
11 8 328
8 12 340
12 8 373
8 13 112
13 8 116
8 14 91
14 8 32
8 15 338
15 8 122
8 16 197
16 8 208
8 18 158
18 8 10
8 19 115
19 8 94
9 10 212
10 9 60
9 11 121
11 9 355
9 12 51
12 9 218
9 13 32
13 9 163
9 14 296
14 9 220
9 15 136
15 9 170
9 16 210
16 9 292
9 17 18
17 9 314
9 18 200
18 9 315
9 19 141
19 9 115
10 12 253
12 10 347
10 14 319
14 10 165
10 15 242
15 10 176
11 12 391
12 11 338
11 14 141
14 11 73
11 15 64
15 11 199
11 18 73
18 11 82
12 14 345
14 12 380
12 15 174
15 12 327
12 18 323
18 12 122
12 19 306
19 12 2
13 14 170
14 13 285
13 15 128
15 13 277
13 18 376
18 13 378
13 19 136
19 13 383
14 15 278
15 14 354
14 16 279
16 14 88
14 18 36
18 14 231
14 19 153
19 14 383
15 16 59
16 15 319
15 17 188
17 15 183
15 18 145
18 15 343
15 19 359
19 15 221
16 18 108
18 16 58
16 19 267
19 16 157
17 18 379
18 17 146
17 19 72
19 17 293
18 19 18
19 18 190

