25
59
212
0 4
0 8
0 9
0 12
0 21
1 15
1 18
1 20
1 21
2 4
2 7
2 8
2 9
2 14
2 21
3 5
3 12
3 24
4 6
4 16
4 18
4 23
5 7
5 8
5 12
6 8
6 14
6 15
6 20
6 24
7 13
7 16
7 18
7 23
8 11
8 16
8 21
9 14
9 15
10 23
11 12
11 16
11 18
11 23
12 13
13 14
13 15
13 23
15 17
15 20
15 21
16 18
16 24
17 18
18 19
20 21
20 22
20 23
21 23
0 1 601
1 0 79
0 2 493
2 0 567
0 3 175
3 0 555
0 5 309
5 0 299
0 7 566
7 0 137
0 10 145
10 0 560
1 2 468
2 1 3
1 3 514
3 1 548
1 4 29
4 1 371
1 5 437
5 1 29
1 6 49
6 1 562
1 7 491
7 1 449
1 8 193
8 1 70
1 9 172
9 1 416
1 10 161
10 1 480
1 11 113
11 1 32
1 12 580
12 1 109
1 13 614
13 1 451
1 14 66
14 1 46
1 16 161
16 1 388
1 24 563
24 1 605
2 3 560
3 2 53
2 5 287
5 2 183
2 10 582
10 2 320
3 4 563
4 3 256
3 6 196
6 3 183
3 9 521
9 3 482
3 10 481
10 3 394
4 5 71
5 4 222
4 7 254
7 4 286
4 9 535
9 4 450
4 10 548
10 4 466
5 6 169
6 5 409
5 9 42
9 5 189
5 10 378
10 5 24
6 7 529
7 6 135
6 9 370
9 6 24
6 10 61
10 6 188
7 8 99
8 7 522
7 9 293
9 7 268
7 10 37
10 7 530
7 11 458
11 7 516
7 12 202
12 7 500
8 9 227
9 8 39
8 10 564
10 8 199
9 10 584
10 9 249
9 11 622
11 9 159
9 12 583
12 9 570
9 13 612
13 9 172
9 16 18
16 9 52
9 24 273
24 9 395
10 11 513
11 10 168
10 12 317
12 10 235
10 13 602
13 10 355
10 14 463
14 10 127
10 15 427
15 10 349
10 16 527
16 10 125
10 17 293
17 10 49
10 18 398
18 10 597
10 19 561
19 10 431
10 20 378
20 10 557
10 21 5
21 10 93
10 22 225
22 10 531
10 24 367
24 10 142
12 16 347
16 12 36
12 24 564
24 12 400
13 16 437
16 13 235
13 24 538
24 13 349
14 15 520
15 14 420
14 16 235
16 14 208
14 17 336
17 14 135
14 18 146
18 14 292
14 19 410
19 14 50
14 20 140
20 14 569
14 21 195
21 14 374
14 22 519
22 14 250
14 23 326
23 14 444
14 24 158
24 14 52
15 16 496
16 15 591
15 24 303
24 15 93
16 17 101
17 16 484
16 20 393
20 16 339
16 21 494
21 16 27
16 22 300
22 16 587
16 23 435
23 16 51
17 20 260
20 17 382
17 21 295
21 17 315
17 22 201
22 17 227
17 23 168
23 17 258
17 24 289
24 17 109
18 20 382
20 18 211
18 21 190
21 18 362
18 22 202
22 18 99
18 23 125
23 18 2
18 24 4
24 18 53
19 20 423
20 19 395
19 21 27
21 19 587
19 22 123
22 19 221
19 23 612
23 19 136
19 24 195
24 19 25
20 24 14
24 20 135
21 22 577
22 21 616
21 24 30
24 21 326
22 23 261
23 22 146
22 24 161
24 22 547
23 24 528
24 23 270

