25
56
360
0 2
0 5
0 8
0 12
0 15
0 17
0 18
0 20
0 22
1 6
1 10
1 14
1 18
2 5
2 22
3 7
3 8
3 11
4 10
4 11
4 12
4 19
4 20
5 12
5 14
5 15
5 16
5 20
5 23
6 12
7 19
7 21
7 23
8 16
8 17
8 24
9 14
9 19
10 23
11 20
11 21
12 19
14 17
14 19
14 22
14 24
16 17
16 18
16 19
16 23
17 18
17 24
18 20
18 22
21 22
22 24
0 1 123
1 0 388
0 3 524
3 0 232
0 4 105
4 0 500
0 6 102
6 0 520
0 7 96
7 0 384
0 9 493
9 0 107
0 10 43
10 0 283
0 11 403
11 0 597
0 13 326
13 0 44
0 21 592
21 0 112
1 2 242
2 1 398
1 3 280
3 1 454
1 4 425
4 1 283
1 5 84
5 1 190
1 7 469
7 1 441
1 8 153
8 1 561
1 9 553
9 1 89
1 11 568
11 1 33
1 13 558
13 1 414
1 15 246
15 1 194
1 16 33
16 1 324
1 21 101
21 1 503
2 3 180
3 2 86
2 4 443
4 2 156
2 6 324
6 2 74
2 7 56
7 2 256
2 8 474
8 2 616
2 9 418
9 2 279
2 10 488
10 2 249
2 11 556
11 2 83
2 13 127
13 2 235
2 21 5
21 2 606
3 4 408
4 3 175
3 5 443
5 3 328
3 6 22
6 3 44
3 9 462
9 3 382
3 10 430
10 3 553
3 12 272
12 3 552
3 13 370
13 3 24
3 14 540
14 3 473
3 15 270
15 3 380
4 5 205
5 4 238
4 6 417
6 4 178
4 7 486
7 4 276
4 8 66
8 4 422
4 9 38
9 4 308
4 13 470
13 4 353
4 14 326
14 4 293
4 15 423
15 4 206
4 16 111
16 4 137
4 17 155
17 4 108
4 18 3
18 4 272
5 6 491
6 5 486
5 7 146
7 5 401
5 8 148
8 5 38
5 9 229
9 5 150
5 10 586
10 5 212
5 11 317
11 5 325
5 13 232
13 5 363
5 21 193
21 5 225
6 7 328
7 6 133
6 8 67
8 6 601
6 9 476
9 6 445
6 10 80
10 6 471
6 11 525
11 6 195
6 13 488
13 6 169
6 14 602
14 6 396
6 15 192
15 6 329
6 16 580
16 6 620
6 17 445
17 6 183
6 18 253
18 6 476
6 20 493
20 6 319
6 21 172
21 6 79
6 22 362
22 6 592
6 23 212
23 6 94
6 24 336
24 6 118
7 8 563
8 7 151
7 9 548
9 7 241
7 10 56
10 7 219
7 11 397
11 7 325
7 12 373
12 7 76
7 13 593
13 7 579
7 14 606
14 7 481
7 15 53
15 7 337
7 16 343
16 7 475
7 17 349
17 7 17
7 18 128
18 7 134
7 20 16
20 7 2
8 9 246
9 8 588
8 10 371
10 8 561
8 11 602
11 8 133
8 12 218
12 8 334
8 13 506
13 8 537
8 14 560
14 8 99
8 15 57
15 8 59
8 21 548
21 8 141
9 10 246
10 9 592
9 11 134
11 9 258
9 12 610
12 9 526
9 13 237
13 9 109
9 15 47
15 9 566
9 16 528
16 9 275
9 21 238
21 9 359
9 23 177
23 9 36
10 11 149
11 10 123
10 12 619
12 10 10
10 13 616
13 10 490
10 14 50
14 10 211
10 15 601
15 10 290
10 16 315
16 10 407
10 17 30
17 10 132
10 18 539
18 10 236
10 19 422
19 10 177
10 20 41
20 10 228
10 21 119
21 10 480
10 22 73
22 10 563
10 24 494
24 10 253
11 12 559
12 11 335
11 13 21
13 11 52
11 14 233
14 11 396
11 15 381
15 11 378
11 16 463
16 11 580
11 17 405
17 11 336
11 18 424
18 11 10
11 19 488
19 11 114
11 23 90
23 11 43
12 13 457
13 12 305
12 14 574
14 12 154
12 15 103
15 12 396
12 16 329
16 12 514
12 17 286
17 12 343
12 18 249
18 12 501
12 20 517
20 12 510
12 21 526
21 12 542
12 22 113
22 12 400
12 23 264
23 12 463
12 24 99
24 12 468
13 14 306
14 13 144
13 15 338
15 13 235
13 16 609
16 13 204
13 17 339
17 13 454
13 18 494
18 13 463
13 19 614
19 13 406
13 20 341
20 13 273
13 21 276
21 13 53
13 22 363
22 13 502
13 23 519
23 13 169
13 24 493
24 13 188
14 15 466
15 14 359
14 16 581
16 14 513
14 21 36
21 14 319
14 23 280
23 14 540
15 16 331
16 15 229
15 17 80
17 15 583
15 18 382
18 15 624
15 19 73
19 15 221
15 20 54
20 15 512
15 21 593
21 15 159
15 22 623
22 15 496
15 23 619
23 15 376
15 24 406
24 15 107
16 21 195
21 16 189
17 19 2
19 17 66
17 21 193
21 17 5
17 23 329
23 17 346
18 19 579
19 18 564
18 21 66
21 18 479
18 23 400
23 18 606
19 20 140
20 19 488
19 21 495
21 19 546
19 22 365
22 19 297
19 23 178
23 19 148
19 24 336
24 19 482
20 21 54
21 20 201
20 22 201
22 20 240
20 23 599
23 20 11
20 24 44
24 20 184
21 23 477
23 21 182
22 23 102
23 22 103
23 24 275
24 23 367

