25
57
310
0 9
0 12
1 2
1 4
1 7
1 9
1 11
1 14
1 17
1 18
2 3
2 6
2 15
3 16
3 20
3 22
4 9
4 15
4 23
5 7
5 12
5 17
5 18
6 10
6 23
7 8
7 11
7 13
7 16
7 22
7 23
8 11
8 16
8 22
9 14
9 21
10 15
10 24
11 14
11 17
11 19
11 21
12 18
12 22
13 18
13 22
14 18
15 17
15 24
16 18
16 20
16 23
17 21
18 21
19 20
21 23
22 24
0 1 270
1 0 340
0 2 288
2 0 165
0 3 302
3 0 445
0 4 251
4 0 384
0 5 607
5 0 363
0 6 215
6 0 280
0 7 510
7 0 564
0 8 292
8 0 379
0 10 266
10 0 342
0 11 390
11 0 552
0 13 79
13 0 501
0 15 68
15 0 102
0 16 33
16 0 140
0 17 352
17 0 589
0 19 153
19 0 44
0 20 551
20 0 109
1 5 526
5 1 337
1 12 522
12 1 240
2 4 68
4 2 424
2 5 331
5 2 268
2 7 485
7 2 44
2 8 267
8 2 597
2 9 431
9 2 613
2 11 37
11 2 261
2 12 85
12 2 517
2 13 273
13 2 329
2 14 69
14 2 393
2 19 355
19 2 522
3 4 548
4 3 276
3 5 234
5 3 505
3 6 344
6 3 21
3 7 444
7 3 478
3 8 290
8 3 298
3 9 487
9 3 466
3 10 291
10 3 332
3 11 38
11 3 272
3 12 222
12 3 458
3 13 483
13 3 560
3 14 15
14 3 419
3 15 162
15 3 410
3 17 146
17 3 230
3 19 576
19 3 318
4 5 7
5 4 213
4 6 121
6 4 245
4 7 461
7 4 20
4 8 385
8 4 367
4 10 318
10 4 189
4 11 425
11 4 15
4 12 591
12 4 240
4 13 203
13 4 222
4 16 394
16 4 90
4 19 117
19 4 376
4 20 41
20 4 113
4 22 316
22 4 448
5 6 189
6 5 574
5 9 298
9 5 307
5 10 20
10 5 30
5 15 74
15 5 602
6 7 423
7 6 397
6 8 181
8 6 377
6 9 545
9 6 335
6 11 128
11 6 127
6 12 101
12 6 3
6 13 61
13 6 533
6 14 78
14 6 354
6 16 54
16 6 563
6 18 411
18 6 556
6 19 203
19 6 308
6 20 284
20 6 194
6 22 388
22 6 158
7 9 170
9 7 193
7 10 484
10 7 346
7 12 558
12 7 108
7 15 317
15 7 257
8 9 229
9 8 171
8 10 422
10 8 343
8 12 443
12 8 215
8 13 46
13 8 73
8 15 508
15 8 116
9 10 491
10 9 290
9 11 287
11 9 292
9 12 168
12 9 194
9 13 93
13 9 577
9 15 164
15 9 87
9 16 519
16 9 275
9 17 438
17 9 8
9 19 228
19 9 578
9 20 188
20 9 402
9 22 323
22 9 294
9 24 185
24 9 387
10 11 197
11 10 55
10 12 514
12 10 38
10 13 185
13 10 82
10 14 371
14 10 197
10 16 468
16 10 64
10 18 48
18 10 513
10 19 465
19 10 241
10 20 501
20 10 296
10 22 609
22 10 559
11 12 11
12 11 194
11 13 80
13 11 105
11 15 211
15 11 559
11 16 179
16 11 392
11 22 361
22 11 284
11 24 137
24 11 325
12 13 85
13 12 375
12 14 460
14 12 73
12 15 181
15 12 176
12 16 370
16 12 621
12 17 362
17 12 109
12 19 410
19 12 51
12 20 601
20 12 395
13 14 603
14 13 204
13 15 480
15 13 506
13 16 74
16 13 145
13 17 74
17 13 241
13 19 24
19 13 56
13 20 622
20 13 293
14 15 178
15 14 574
14 16 308
16 14 85
14 17 320
17 14 204
14 19 165
19 14 383
14 20 511
20 14 114
14 22 362
22 14 334
14 24 17
24 14 373
15 16 1
16 15 111
15 18 216
18 15 143
15 19 591
19 15 574
15 20 98
20 15 184
15 22 526
22 15 439
16 17 253
17 16 540
16 19 112
19 16 392
16 22 13
22 16 499
16 24 185
24 16 347
17 18 9
18 17 496
17 19 549
19 17 10
17 20 150
20 17 200
17 22 401
22 17 456
17 24 10
24 17 555
18 19 529
19 18 552
18 20 232
20 18 197
18 22 529
22 18 209
18 24 556
24 18 447
19 21 117
21 19 551
19 22 520
22 19 269
19 23 619
23 19 396
19 24 127
24 19 578
20 21 563
21 20 385
20 22 364
22 20 13
20 23 545
23 20 490
20 24 69
24 20 377
21 22 319
22 21 548
21 24 453
24 21 132
22 23 64
23 22 438
23 24 388
24 23 563

