25
22
530
0 8
0 21
1 6
3 18
3 20
3 23
4 6
5 13
5 18
6 12
6 20
7 8
7 24
8 13
8 23
10 22
11 22
12 19
16 21
17 23
17 24
18 21
0 1 330
1 0 462
0 2 501
2 0 114
0 3 373
3 0 172
0 4 569
4 0 294
0 5 451
5 0 610
0 6 201
6 0 227
0 7 353
7 0 210
0 9 373
9 0 321
0 10 36
10 0 86
0 11 477
11 0 589
0 12 202
12 0 128
0 14 414
14 0 427
0 15 248
15 0 521
0 16 276
16 0 530
0 17 38
17 0 422
0 18 228
18 0 473
0 19 58
19 0 72
0 20 204
20 0 500
0 22 269
22 0 36
0 24 243
24 0 249
1 2 145
2 1 543
1 3 4
3 1 448
1 4 563
4 1 259
1 5 81
5 1 399
1 7 146
7 1 120
1 8 260
8 1 603
1 9 274
9 1 589
1 10 279
10 1 110
1 11 36
11 1 25
1 13 207
13 1 545
1 14 425
14 1 371
1 15 377
15 1 329
1 16 295
16 1 532
1 17 303
17 1 229
1 18 4
18 1 172
1 21 268
21 1 279
1 22 593
22 1 456
1 23 556
23 1 19
1 24 429
24 1 366
2 3 316
3 2 115
2 4 377
4 2 108
2 5 127
5 2 350
2 6 301
6 2 249
2 7 90
7 2 268
2 8 571
8 2 498
2 9 96
9 2 575
2 10 202
10 2 0
2 11 610
11 2 337
2 12 37
12 2 283
2 13 99
13 2 486
2 14 465
14 2 218
2 15 106
15 2 554
2 16 283
16 2 574
2 17 535
17 2 208
2 18 499
18 2 287
2 19 260
19 2 288
2 20 28
20 2 74
2 21 611
21 2 264
2 22 25
22 2 37
2 23 608
23 2 119
2 24 336
24 2 578
3 4 612
4 3 112
3 5 605
5 3 405
3 6 381
6 3 501
3 7 586
7 3 307
3 8 551
8 3 155
3 9 517
9 3 432
3 10 296
10 3 412
3 11 192
11 3 181
3 12 188
12 3 606
3 13 105
13 3 138
3 14 444
14 3 465
3 15 441
15 3 82
3 16 241
16 3 176
3 17 201
17 3 435
3 19 367
19 3 555
3 22 299
22 3 286
3 24 331
24 3 96
4 5 397
5 4 538
4 7 137
7 4 533
4 8 105
8 4 20
4 9 352
9 4 547
4 10 36
10 4 89
4 11 404
11 4 330
4 13 386
13 4 211
4 14 174
14 4 109
4 15 34
15 4 117
4 16 158
16 4 257
4 17 261
17 4 62
4 18 282
18 4 294
4 21 453
21 4 45
4 22 233
22 4 208
4 23 521
23 4 309
4 24 387
24 4 58
5 6 160
6 5 507
5 7 63
7 5 477
5 8 315
8 5 309
5 9 566
9 5 228
5 10 449
10 5 514
5 11 184
11 5 313
5 12 474
12 5 213
5 14 489
14 5 133
5 15 571
15 5 153
5 16 395
16 5 140
5 17 533
17 5 430
5 19 175
19 5 396
5 20 80
20 5 504
5 22 7
22 5 275
5 23 245
23 5 482
5 24 354
24 5 353
6 7 149
7 6 598
6 8 443
8 6 84
6 9 332
9 6 230
6 10 82
10 6 462
6 11 445
11 6 260
6 13 468
13 6 517
6 14 139
14 6 41
6 15 22
15 6 239
6 16 245
16 6 84
6 17 193
17 6 33
6 18 591
18 6 128
6 21 395
21 6 104
6 22 108
22 6 587
6 23 124
23 6 53
6 24 130
24 6 415
7 9 221
9 7 549
7 10 560
10 7 467
7 11 230
11 7 330
7 12 243
12 7 126
7 14 608
14 7 208
7 15 529
15 7 469
7 16 490
16 7 5
7 17 568
17 7 311
7 18 126
18 7 362
7 19 472
19 7 12
7 20 564
20 7 94
7 21 557
21 7 371
7 22 220
22 7 220
8 9 343
9 8 586
8 10 492
10 8 153
8 11 375
11 8 475
8 12 295
12 8 326
8 14 101
14 8 37
8 15 172
15 8 380
8 16 30
16 8 566
8 17 153
17 8 145
8 18 344
18 8 135
8 19 29
19 8 312
8 20 76
20 8 158
8 21 422
21 8 281
8 22 23
22 8 214
8 24 115
24 8 370
9 10 453
10 9 540
9 11 503
11 9 314
9 12 354
12 9 611
9 13 582
13 9 537
9 14 536
14 9 88
9 15 44
15 9 544
9 16 103
16 9 298
9 17 309
17 9 624
9 18 376
18 9 103
9 19 265
19 9 165
9 20 546
20 9 37
9 21 478
21 9 448
9 22 448
22 9 11
9 23 136
23 9 598
9 24 17
24 9 73
10 11 231
11 10 345
10 12 194
12 10 238
10 13 269
13 10 600
10 14 97
14 10 500
10 15 496
15 10 514
10 16 161
16 10 149
10 17 151
17 10 383
10 18 495
18 10 453
10 19 513
19 10 177
10 20 521
20 10 101
10 21 42
21 10 1
10 23 481
23 10 325
10 24 471
24 10 26
11 12 241
12 11 163
11 13 601
13 11 235
11 14 446
14 11 307
11 15 520
15 11 13
11 16 130
16 11 269
11 17 565
17 11 422
11 18 275
18 11 1
11 19 436
19 11 85
11 20 30
20 11 615
11 21 546
21 11 296
11 23 615
23 11 505
11 24 215
24 11 94
12 13 227
13 12 360
12 14 423
14 12 212
12 15 421
15 12 610
12 16 79
16 12 327
12 17 495
17 12 591
12 18 526
18 12 102
12 20 82
20 12 115
12 21 418
21 12 596
12 22 418
22 12 587
12 23 436
23 12 212
12 24 549
24 12 18
13 14 252
14 13 208
13 15 552
15 13 233
13 16 410
16 13 41
13 17 365
17 13 275
13 18 376
18 13 509
13 19 491
19 13 95
13 20 612
20 13 213
13 21 578
21 13 233
13 22 97
22 13 108
13 23 452
23 13 152
13 24 278
24 13 53
14 15 138
15 14 209
14 16 85
16 14 163
14 17 40
17 14 118
14 18 49
18 14 333
14 19 343
19 14 472
14 20 521
20 14 474
14 21 249
21 14 472
14 22 317
22 14 554
14 23 306
23 14 29
14 24 535
24 14 285
15 16 423
16 15 530
15 17 403
17 15 600
15 18 213
18 15 51
15 19 344
19 15 601
15 20 57
20 15 336
15 21 367
21 15 412
15 22 607
22 15 586
15 23 46
23 15 509
15 24 106
24 15 505
16 17 521
17 16 275
16 18 451
18 16 565
16 19 40
19 16 362
16 20 128
20 16 610
16 22 356
22 16 380
16 23 222
23 16 475
16 24 505
24 16 131
17 18 11
18 17 247
17 19 358
19 17 203
17 20 46
20 17 471
17 21 560
21 17 245
17 22 397
22 17 84
18 19 286
19 18 448
18 20 87
20 18 436
18 22 32
22 18 100
18 23 465
23 18 220
18 24 519
24 18 440
19 20 537
20 19 123
19 21 381
21 19 487
19 22 200
22 19 323
19 23 135
23 19 319
19 24 21
24 19 356
20 21 290
21 20 556
20 22 211
22 20 554
20 23 375
23 20 550
20 24 23
24 20 289
21 22 313
22 21 43
21 23 496
23 21 166
21 24 293
24 21 522
22 23 149
23 22 16
22 24 227
24 22 502
23 24 591
24 23 189

