25
40
336
0 4
0 5
0 20
1 3
1 5
1 8
2 8
2 17
3 15
3 16
4 8
5 13
6 7
6 24
7 9
7 20
7 22
8 9
8 11
8 12
8 14
9 10
9 18
11 18
11 19
11 22
11 24
12 16
12 24
13 14
13 19
13 22
14 21
15 22
16 18
16 19
16 23
18 21
20 23
22 23
0 1 490
1 0 422
0 2 77
2 0 384
0 3 259
3 0 569
0 6 230
6 0 30
0 7 151
7 0 538
0 15 494
15 0 337
0 17 128
17 0 255
1 2 93
2 1 502
1 4 226
4 1 354
1 6 223
6 1 11
1 7 517
7 1 79
1 17 607
17 1 49
1 20 519
20 1 617
2 3 109
3 2 282
2 4 460
4 2 274
2 5 391
5 2 503
2 6 157
6 2 80
2 7 238
7 2 180
2 13 276
13 2 75
2 15 101
15 2 506
2 20 186
20 2 118
3 4 174
4 3 282
3 5 46
5 3 396
3 6 574
6 3 578
3 7 619
7 3 14
3 8 531
8 3 158
3 9 231
9 3 20
3 10 227
10 3 523
3 11 65
11 3 129
3 12 57
12 3 135
3 13 578
13 3 220
3 14 498
14 3 547
3 17 611
17 3 285
3 20 43
20 3 320
3 24 87
24 3 477
4 5 371
5 4 255
4 6 554
6 4 240
4 7 133
7 4 204
4 13 362
13 4 129
4 15 539
15 4 454
4 17 422
17 4 11
4 20 565
20 4 613
5 6 108
6 5 502
5 7 231
7 5 435
5 8 591
8 5 146
5 9 202
9 5 66
5 10 514
10 5 18
5 11 195
11 5 468
5 12 413
12 5 417
5 15 76
15 5 281
5 16 618
16 5 139
5 17 390
17 5 41
5 18 95
18 5 253
5 20 154
20 5 13
5 24 528
24 5 454
6 8 91
8 6 157
6 11 337
11 6 266
6 12 452
12 6 86
6 13 424
13 6 227
6 14 382
14 6 33
6 15 178
15 6 67
6 16 2
16 6 423
6 17 453
17 6 337
6 19 40
19 6 263
7 8 355
8 7 581
7 11 360
11 7 150
7 12 157
12 7 68
7 13 153
13 7 394
7 14 592
14 7 140
7 15 267
15 7 315
7 16 393
16 7 371
7 17 423
17 7 458
7 19 530
19 7 528
7 24 23
24 7 40
8 13 515
13 8 541
8 15 102
15 8 216
8 17 27
17 8 13
8 20 411
20 8 200
9 11 624
11 9 469
9 12 76
12 9 584
9 13 64
13 9 441
9 14 268
14 9 0
9 15 515
15 9 340
9 16 479
16 9 445
9 17 76
17 9 251
9 19 206
19 9 456
9 20 28
20 9 3
9 22 518
22 9 105
9 23 449
23 9 469
9 24 66
24 9 408
10 11 472
11 10 163
10 12 354
12 10 220
10 13 356
13 10 115
10 14 214
14 10 251
10 15 47
15 10 566
10 16 187
16 10 149
10 17 505
17 10 298
10 18 131
18 10 158
10 19 333
19 10 15
10 20 239
20 10 427
10 21 238
21 10 585
10 22 574
22 10 300
10 23 616
23 10 510
10 24 537
24 10 465
11 12 609
12 11 213
11 13 186
13 11 37
11 14 250
14 11 276
11 15 601
15 11 206
11 16 219
16 11 510
11 17 136
17 11 169
11 20 104
20 11 295
12 13 187
13 12 120
12 14 228
14 12 549
12 15 252
15 12 311
12 17 77
17 12 613
12 20 202
20 12 336
12 22 529
22 12 168
13 15 608
15 13 57
13 16 169
16 13 335
13 17 125
17 13 527
13 18 275
18 13 519
13 20 496
20 13 349
13 24 383
24 13 63
14 15 59
15 14 95
14 16 5
16 14 5
14 17 517
17 14 422
14 18 346
18 14 270
14 19 267
19 14 79
14 20 14
20 14 258
14 22 108
22 14 134
14 23 525
23 14 408
14 24 530
24 14 555
15 16 582
16 15 357
15 17 327
17 15 189
15 18 132
18 15 118
15 19 198
19 15 292
15 20 46
20 15 99
15 21 13
21 15 252
15 24 285
24 15 100
16 17 550
17 16 196
16 20 12
20 16 274
16 22 514
22 16 217
16 24 453
24 16 263
17 18 280
18 17 534
17 19 283
19 17 19
17 20 312
20 17 180
17 21 620
21 17 314
17 22 245
22 17 160
17 23 379
23 17 461
17 24 168
24 17 522
18 19 565
19 18 195
18 20 617
20 18 327
18 22 431
22 18 621
18 23 140
23 18 425
18 24 482
24 18 300
19 20 436
20 19 404
19 21 359
21 19 229
19 22 241
22 19 621
19 23 417
23 19 549
19 24 367
24 19 148
20 21 23
21 20 165
20 22 21
22 20 363
20 24 509
24 20 315
21 22 618
22 21 132
21 23 348
23 21 70
21 24 187
24 21 239
22 24 230
24 22 152
23 24 462
24 23 516

