25
41
206
0 2
0 10
1 2
1 10
2 6
2 7
2 8
2 9
3 8
3 13
4 8
5 6
5 7
5 10
6 23
7 11
7 15
8 14
8 15
9 13
9 16
9 18
10 12
10 15
11 22
12 14
13 20
14 17
15 16
15 17
16 21
16 23
17 18
17 19
18 20
18 21
19 20
20 22
20 23
21 24
23 24
0 1 383
1 0 381
0 3 546
3 0 29
0 4 413
4 0 341
0 5 516
5 0 390
1 3 476
3 1 467
1 4 429
4 1 89
1 5 529
5 1 32
2 3 82
3 2 327
2 4 416
4 2 622
2 5 237
5 2 415
2 10 206
10 2 30
2 12 176
12 2 296
3 4 165
4 3 89
3 5 211
5 3 34
3 6 257
6 3 125
3 7 286
7 3 176
3 9 525
9 3 88
3 10 272
10 3 484
3 11 14
11 3 382
3 12 228
12 3 139
4 5 496
5 4 51
4 6 612
6 4 115
4 7 154
7 4 175
4 9 442
9 4 131
4 10 468
10 4 177
4 11 176
11 4 338
4 12 188
12 4 77
4 13 176
13 4 311
5 8 94
8 5 589
5 9 176
9 5 617
5 13 107
13 5 338
6 7 262
7 6 139
6 8 302
8 6 38
6 9 407
9 6 143
6 10 438
10 6 425
6 11 206
11 6 230
6 12 516
12 6 24
6 13 66
13 6 390
6 14 563
14 6 160
6 15 136
15 6 168
6 16 200
16 6 539
6 17 378
17 6 608
6 18 541
18 6 131
6 19 373
19 6 603
6 20 254
20 6 418
6 21 39
21 6 182
6 22 201
22 6 394
7 8 48
8 7 599
7 9 521
9 7 551
7 10 53
10 7 433
7 12 503
12 7 418
7 13 407
13 7 154
7 14 174
14 7 290
8 9 130
9 8 443
8 10 199
10 8 353
8 11 546
11 8 294
8 12 379
12 8 100
8 13 561
13 8 532
9 10 199
10 9 150
9 11 512
11 9 303
9 12 20
12 9 180
9 14 17
14 9 109
9 15 34
15 9 536
9 17 324
17 9 382
9 19 123
19 9 229
10 11 169
11 10 503
10 13 422
13 10 61
11 12 11
12 11 377
11 13 10
13 11 100
11 14 345
14 11 25
11 15 413
15 11 337
11 16 134
16 11 450
11 17 263
17 11 349
11 18 72
18 11 261
11 19 204
19 11 22
11 20 104
20 11 501
11 21 113
21 11 8
11 23 490
23 11 303
11 24 227
24 11 401
12 13 283
13 12 367
12 15 380
15 12 595
12 16 185
16 12 435
13 14 12
14 13 234
13 15 553
15 13 292
13 16 392
16 13 559
13 17 506
17 13 177
13 18 289
18 13 515
13 19 522
19 13 309
13 21 12
21 13 251
14 15 207
15 14 523
14 16 490
16 14 12
16 17 207
17 16 590
16 18 192
18 16 546
16 19 42
19 16 444
16 20 291
20 16 268
16 22 43
22 16 179
18 19 338
19 18 287
19 21 588
21 19 444
20 21 216
21 20 140
21 22 562
22 21 273
21 23 1
23 21 332
22 23 390
23 22 466
22 24 304
24 22 242

