25
6
584
8 11
10 24
12 14
12 23
14 19
23 24
0 1 151
1 0 484
0 2 62
2 0 83
0 3 460
3 0 265
0 4 0
4 0 561
0 5 380
5 0 131
0 6 3
6 0 502
0 7 527
7 0 237
0 8 174
8 0 440
0 9 122
9 0 207
0 10 260
10 0 53
0 11 396
11 0 264
0 12 228
12 0 258
0 13 550
13 0 15
0 14 10
14 0 45
0 15 153
15 0 196
0 16 105
16 0 20
0 17 427
17 0 398
0 18 134
18 0 376
0 19 175
19 0 211
0 20 84
20 0 376
0 21 237
21 0 560
0 22 349
22 0 90
0 23 356
23 0 446
0 24 205
24 0 310
1 2 270
2 1 407
1 3 575
3 1 593
1 4 448
4 1 337
1 5 537
5 1 623
1 6 530
6 1 287
1 7 467
7 1 567
1 8 164
8 1 547
1 9 321
9 1 353
1 10 231
10 1 365
1 11 214
11 1 233
1 12 204
12 1 145
1 13 269
13 1 324
1 14 270
14 1 522
1 15 50
15 1 612
1 16 197
16 1 23
1 17 605
17 1 613
1 18 22
18 1 417
1 19 233
19 1 453
1 20 152
20 1 500
1 21 134
21 1 151
1 22 328
22 1 257
1 23 169
23 1 111
1 24 603
24 1 439
2 3 513
3 2 596
2 4 176
4 2 38
2 5 427
5 2 325
2 6 474
6 2 356
2 7 200
7 2 461
2 8 112
8 2 377
2 9 323
9 2 95
2 10 59
10 2 266
2 11 137
11 2 132
2 12 243
12 2 34
2 13 444
13 2 259
2 14 196
14 2 183
2 15 268
15 2 168
2 16 52
16 2 119
2 17 482
17 2 541
2 18 141
18 2 264
2 19 373
19 2 40
2 20 572
20 2 429
2 21 216
21 2 340
2 22 115
22 2 36
2 23 582
23 2 259
2 24 75
24 2 327
3 4 93
4 3 491
3 5 579
5 3 573
3 6 227
6 3 548
3 7 599
7 3 324
3 8 399
8 3 8
3 9 385
9 3 38
3 10 295
10 3 612
3 11 129
11 3 84
3 12 34
12 3 503
3 13 48
13 3 210
3 14 25
14 3 524
3 15 443
15 3 605
3 16 37
16 3 140
3 17 142
17 3 407
3 18 52
18 3 34
3 19 79
19 3 415
3 20 459
20 3 266
3 21 621
21 3 585
3 22 234
22 3 190
3 23 542
23 3 498
3 24 211
24 3 143
4 5 621
5 4 424
4 6 97
6 4 126
4 7 504
7 4 294
4 8 608
8 4 427
4 9 618
9 4 443
4 10 116
10 4 352
4 11 563
11 4 100
4 12 194
12 4 568
4 13 415
13 4 609
4 14 89
14 4 56
4 15 183
15 4 257
4 16 228
16 4 564
4 17 37
17 4 364
4 18 574
18 4 20
4 19 202
19 4 54
4 20 113
20 4 566
4 21 548
21 4 517
