50
29
2364
0 45
1 2
1 45
2 16
2 41
4 20
6 13
7 42
8 43
9 44
10 40
11 21
12 30
13 32
14 26
15 47
15 49
16 23
16 27
18 38
18 42
19 21
20 27
20 41
22 37
23 24
28 47
32 39
35 40
0 1 1441
1 0 624
0 2 1641
2 0 961
0 3 2180
3 0 920
0 4 1862
4 0 1406
0 5 936
5 0 1015
0 6 977
6 0 407
0 7 2318
7 0 1664
0 8 695
8 0 1237
0 9 2164
9 0 561
0 10 1998
10 0 1753
0 11 2140
11 0 1520
0 12 980
12 0 298
0 13 2453
13 0 925
0 14 112
14 0 617
0 15 1834
15 0 2009
0 16 1290
16 0 328
0 17 1054
17 0 1570
0 18 577
18 0 1368
0 19 1807
19 0 51
0 20 910
20 0 1200
0 21 1869
21 0 925
0 22 351
22 0 47
0 23 1396
23 0 2097
0 24 1275
24 0 1233
0 25 2077
25 0 1520
0 26 1716
26 0 107
0 27 1682
27 0 977
0 28 173
28 0 1283
0 29 1625
29 0 506
0 30 626
30 0 758
0 31 2385
31 0 718
0 32 308
32 0 2180
0 33 1113
33 0 745
0 34 1021
34 0 1431
0 35 374
35 0 244
0 36 1067
36 0 2280
0 37 1808
37 0 326
0 38 835
38 0 822
0 39 1450
39 0 2463
0 40 634
40 0 1664
0 41 817
41 0 2209
0 42 307
42 0 165
0 43 80
43 0 1960
0 44 1216
44 0 1278
0 46 1797
46 0 1034
0 47 370
47 0 384
0 48 1879
48 0 2363
0 49 957
49 0 1391
1 3 21
3 1 1497
1 4 1389
4 1 2486
1 5 1798
5 1 1335
1 6 481
6 1 892
1 7 1809
7 1 1207
1 8 282
8 1 2098
1 9 958
9 1 1406
1 10 763
10 1 369
1 11 1985
11 1 287
1 12 214
12 1 1091
1 13 1071
13 1 1810
1 14 1440
14 1 1745
1 15 2040
15 1 1534
1 17 1804
17 1 576
1 18 536
18 1 2244
1 19 261
19 1 705
1 20 1308
20 1 1067
1 21 117
21 1 721
1 22 438
22 1 1741
1 25 132
25 1 948
1 26 1451
26 1 787
1 28 1026
28 1 1132
1 29 1613
29 1 880
1 30 60
30 1 1962
1 31 2437
31 1 610
1 32 61
32 1 1365
1 33 1871
33 1 1714
1 34 1008
34 1 117
1 35 2444
35 1 1885
1 36 1604
36 1 34
1 37 714
37 1 938
1 38 1917
38 1 1065
1 39 422
39 1 1657
1 40 1821
40 1 211
1 42 27
42 1 153
1 43 2137
43 1 1438
1 44 1339
44 1 447
1 46 1048
46 1 836
1 47 1710
47 1 619
1 48 1448
48 1 57
1 49 321
49 1 2194
2 3 724
3 2 122
2 4 495
4 2 904
2 5 686
5 2 330
2 6 1357
6 2 2467
2 7 126
7 2 2042
2 8 2184
8 2 368
2 9 1379
9 2 725
2 10 177
10 2 2134
2 11 601
11 2 2386
2 12 1972
12 2 1343
2 13 906
13 2 1512
2 14 332
14 2 1529
2 15 1116
15 2 401
2 17 2222
17 2 1434
2 18 1219
18 2 1738
2 19 2039
19 2 1520
2 20 1759
20 2 1351
2 21 1475
21 2 1657
2 22 1301
22 2 592
2 25 920
25 2 52
2 26 2479
26 2 271
2 28 1584
28 2 234
2 29 240
29 2 1403
2 30 1102
30 2 787
2 31 1469
31 2 1292
2 32 2322
32 2 92
2 33 916
33 2 132
2 34 1083
34 2 1771
2 35 143
35 2 213
2 36 992
36 2 2182
2 37 729
37 2 327
2 38 22
38 2 1459
2 39 1938
39 2 1928
2 40 2377
40 2 2327
2 42 1245
42 2 2311
2 43 1797
43 2 1377
2 44 2449
44 2 1550
2 45 999
45 2 781
2 46 157
46 2 520
2 47 23
47 2 606
2 48 1957
48 2 830
2 49 1228
49 2 295
3 4 12
4 3 1956
3 5 35
5 3 1105
3 6 2059
6 3 506
3 7 1041
7 3 2262
3 8 2202
8 3 915
3 9 488
9 3 1812
3 10 1749
10 3 277
3 11 1474
11 3 1549
3 12 314
12 3 1166
3 13 675
13 3 1801
3 14 274
14 3 2024
3 15 1884
15 3 1100
3 16 884
16 3 304
3 17 2288
17 3 970
3 18 1045
18 3 556
3 19 2324
19 3 856
3 20 1636
20 3 648
3 21 1085
21 3 853
3 22 1710
22 3 1101
3 23 296
23 3 2154
3 24 158
24 3 2329
3 25 146
25 3 109
3 26 897
26 3 1550
3 27 1953
27 3 1264
3 28 332
28 3 1307
3 29 2499
29 3 2184
3 30 1476
30 3 455
3 31 336
31 3 23
3 32 2243
32 3 1183
3 33 1501
33 3 1491
3 34 1125
34 3 2109
3 35 575
35 3 1760
3 36 1798
36 3 1110
3 37 493
37 3 609
3 38 1190
38 3 242
3 39 522
39 3 114
3 40 2217
40 3 1866
3 41 31
41 3 9
3 42 532
42 3 1911
3 43 1100
43 3 1998
3 44 1223
44 3 1152
3 45 736
45 3 1743
3 46 1689
46 3 995
3 47 2358
47 3 499
3 48 2153
48 3 88
3 49 57
49 3 942
4 5 2378
5 4 2251
4 6 1127
6 4 766
4 7 1569
7 4 2245
4 8 1970
8 4 553
4 9 1009
9 4 220
4 10 1963
10 4 479
4 11 1867
11 4 826
4 12 1131
12 4 2361
4 13 1291
13 4 947
4 14 1379
14 4 1782
4 15 1011
15 4 2322
4 16 147
16 4 2425
4 17 1831
17 4 150
4 18 1363
18 4 483
4 19 1365
19 4 189
4 21 1376
21 4 1986
4 22 626
22 4 628
4 23 1264
23 4 2250
4 24 656
24 4 1960
4 25 788
25 4 827
4 26 1693
26 4 1485
4 28 930
28 4 628
4 29 2124
29 4 2013
4 30 1532
30 4 215
4 31 259
31 4 867
4 32 163
32 4 2496
4 33 285
33 4 1244
4 34 1783
34 4 606
4 35 1236
35 4 78
4 36 402
36 4 1779
4 37 1233
37 4 1424
4 38 2403
38 4 19
4 39 1179
39 4 1741
4 40 409
40 4 61
4 42 1065
42 4 1364
4 43 476
43 4 1541
4 44 2184
44 4 2371
4 45 2216
45 4 985
4 46 2409
46 4 1966
4 47 2304
47 4 778
4 48 698
48 4 963
4 49 1696
49 4 1297
5 6 231
6 5 2012
5 7 1649
7 5 1286
5 8 1487
8 5 1988
5 9 2168
9 5 1468
5 10 672
10 5 1934
5 11 570
11 5 2098
5 12 1595
12 5 2442
5 13 127
13 5 2430
5 14 399
14 5 1105
5 15 1122
15 5 1426
5 16 905
16 5 799
5 17 1948
17 5 555
5 18 1400
18 5 963
5 19 275
19 5 686
5 20 626
20 5 915
5 21 397
21 5 1420
5 22 138
22 5 756
5 23 345
23 5 234
5 24 348
24 5 512
5 25 1761
25 5 2441
5 26 1698
26 5 1630
5 27 136
27 5 1938
5 28 2312
28 5 239
5 29 194
29 5 2329
5 30 1594
30 5 31
5 31 533
31 5 1411
5 32 228
32 5 2309
5 33 1163
33 5 1117
5 34 1682
34 5 514
5 35 1066
35 5 1272
5 36 2274
36 5 522
5 37 2291
37 5 1377
5 38 1859
38 5 2345
5 39 1458
39 5 1574
5 40 67
40 5 134
5 41 1420
41 5 902
5 42 1659
42 5 1394
5 43 850
43 5 719
5 44 1552
44 5 2223
5 45 1453
45 5 1310
5 46 954
46 5 1261
5 47 846
47 5 2387
5 48 2009
48 5 61
5 49 1340
